scenario,cmp,year,event,count
Cyclic recruitment,HS+20,2026,Banking eligible,0
Cyclic recruitment,HS+20,2026,Borrowing eligible,0
Cyclic recruitment,HS+20,2027,Banking eligible,0
Cyclic recruitment,HS+20,2027,Borrowing eligible,0
Cyclic recruitment,HS+20,2028,Banking eligible,0
Cyclic recruitment,HS+20,2028,Borrowing eligible,0
Cyclic recruitment,HS+20,2029,Banking eligible,4
Cyclic recruitment,HS+20,2029,Borrowing eligible,0
Cyclic recruitment,HS+20,2030,Banking eligible,1
Cyclic recruitment,HS+20,2030,Borrowing eligible,0
Cyclic recruitment,HS+20,2031,Banking eligible,3
Cyclic recruitment,HS+20,2031,Borrowing eligible,0
Cyclic recruitment,HS+20,2032,Banking eligible,2
Cyclic recruitment,HS+20,2032,Borrowing eligible,0
Cyclic recruitment,HS+20,2033,Banking eligible,5
Cyclic recruitment,HS+20,2033,Borrowing eligible,0
Cyclic recruitment,HS+20,2034,Banking eligible,4
Cyclic recruitment,HS+20,2034,Borrowing eligible,0
Cyclic recruitment,HS+20,2035,Banking eligible,1
Cyclic recruitment,HS+20,2035,Borrowing eligible,0
Cyclic recruitment,HS+20,2036,Banking eligible,1
Cyclic recruitment,HS+20,2036,Borrowing eligible,0
Cyclic recruitment,HS+20,2037,Banking eligible,0
Cyclic recruitment,HS+20,2037,Borrowing eligible,0
Cyclic recruitment,HS+20,2038,Banking eligible,1
Cyclic recruitment,HS+20,2038,Borrowing eligible,0
Cyclic recruitment,HS+20,2039,Banking eligible,0
Cyclic recruitment,HS+20,2039,Borrowing eligible,0
Cyclic recruitment,HS+20,2040,Banking eligible,1
Cyclic recruitment,HS+20,2040,Borrowing eligible,0
Cyclic recruitment,HS+20,2041,Banking eligible,0
Cyclic recruitment,HS+20,2041,Borrowing eligible,0
Cyclic recruitment,HS+20,2042,Banking eligible,2
Cyclic recruitment,HS+20,2042,Borrowing eligible,0
Cyclic recruitment,HS+20,2043,Banking eligible,1
Cyclic recruitment,HS+20,2043,Borrowing eligible,0
Cyclic recruitment,HS+20,2044,Banking eligible,1
Cyclic recruitment,HS+20,2044,Borrowing eligible,0
Cyclic recruitment,HS+20,2045,Banking eligible,1
Cyclic recruitment,HS+20,2045,Borrowing eligible,0
Cyclic recruitment,HS+20,2046,Banking eligible,1
Cyclic recruitment,HS+20,2046,Borrowing eligible,0
Cyclic recruitment,HS+20,2047,Banking eligible,3
Cyclic recruitment,HS+20,2047,Borrowing eligible,0
Cyclic recruitment,HS+20,2048,Banking eligible,0
Cyclic recruitment,HS+20,2048,Borrowing eligible,0
Cyclic recruitment,HS+20,2049,Banking eligible,1
Cyclic recruitment,HS+20,2049,Borrowing eligible,0
Cyclic recruitment,PR+20,2026,Banking eligible,0
Cyclic recruitment,PR+20,2026,Borrowing eligible,0
Cyclic recruitment,PR+20,2027,Banking eligible,5
Cyclic recruitment,PR+20,2027,Borrowing eligible,0
Cyclic recruitment,PR+20,2028,Banking eligible,11
Cyclic recruitment,PR+20,2028,Borrowing eligible,0
Cyclic recruitment,PR+20,2029,Banking eligible,28
Cyclic recruitment,PR+20,2029,Borrowing eligible,0
Cyclic recruitment,PR+20,2030,Banking eligible,13
Cyclic recruitment,PR+20,2030,Borrowing eligible,0
Cyclic recruitment,PR+20,2031,Banking eligible,8
