scenario,cmp,period,iter,mean_sb_sbmsy
Reference OM,HS+20,Near term (2026–2035),100,1.7202083678802
Reference OM,HS+20,Near term (2026–2035),101,1.50561677019649
Reference OM,HS+20,Near term (2026–2035),102,1.16335253023871
Reference OM,HS+20,Near term (2026–2035),103,1.65965467320537
Reference OM,HS+20,Near term (2026–2035),104,1.56118161087437
Reference OM,HS+20,Near term (2026–2035),105,2.00196518616496
Reference OM,HS+20,Near term (2026–2035),106,1.71120579791337
Reference OM,HS+20,Near term (2026–2035),107,1.10725990361285
Reference OM,HS+20,Near term (2026–2035),108,1.26833217786728
Reference OM,HS+20,Near term (2026–2035),109,1.38077247400554
Reference OM,HS+20,Near term (2026–2035),110,1.12206993804235
Reference OM,HS+20,Near term (2026–2035),111,1.12128812121192
Reference OM,HS+20,Near term (2026–2035),112,1.90773102790826
Reference OM,HS+20,Near term (2026–2035),113,1.34889289161507
Reference OM,HS+20,Near term (2026–2035),114,1.67418379670937
Reference OM,HS+20,Near term (2026–2035),115,1.62321678835931
Reference OM,HS+20,Near term (2026–2035),116,1.67457281698411
Reference OM,HS+20,Near term (2026–2035),117,1.72636025369749
Reference OM,HS+20,Near term (2026–2035),118,1.02724554662264
Reference OM,HS+20,Near term (2026–2035),119,1.20242246819455
Reference OM,HS+20,Near term (2026–2035),120,2.78935659458505
Reference OM,HS+20,Near term (2026–2035),121,1.23800066015615
Reference OM,HS+20,Near term (2026–2035),122,1.06835334531207
Reference OM,HS+20,Near term (2026–2035),123,1.30692263236204
Reference OM,HS+20,Near term (2026–2035),124,1.23941684427431
Reference OM,HS+20,Near term (2026–2035),125,1.15741847407063
Reference OM,HS+20,Near term (2026–2035),126,0.927663129472153
Reference OM,HS+20,Near term (2026–2035),127,1.07550145234241
Reference OM,HS+20,Near term (2026–2035),128,0.929649794089811
Reference OM,HS+20,Near term (2026–2035),129,1.42530736571645
Reference OM,HS+20,Near term (2026–2035),130,1.00390332710499
Reference OM,HS+20,Near term (2026–2035),131,1.44988342003183
Reference OM,HS+20,Near term (2026–2035),132,1.20622412487541
Reference OM,HS+20,Near term (2026–2035),133,0.901365727108027
Reference OM,HS+20,Near term (2026–2035),134,1.55410977272043
Reference OM,HS+20,Near term (2026–2035),135,1.68391739365247
Reference OM,HS+20,Near term (2026–2035),136,1.31312321771918
Reference OM,HS+20,Near term (2026–2035),137,1.64630659157621
Reference OM,HS+20,Near term (2026–2035),138,0.669900809581808
Reference OM,HS+20,Near term (2026–2035),139,1.9370942931299
Reference OM,HS+20,Near term (2026–2035),140,1.18278027798904
Reference OM,HS+20,Near term (2026–2035),141,1.45446043415058
Reference OM,HS+20,Near term (2026–2035),142,0.821963746742589
Reference OM,HS+20,Near term (2026–2035),143,1.37660418395866
Reference OM,HS+20,Near term (2026–2035),144,1.57748844906735
Reference OM,HS+20,Near term (2026–2035),145,1.27672564384925
Reference OM,HS+20,Near term (2026–2035),146,1.48784478621022
Reference OM,HS+20,Near term (2026–2035),147,1.65475215204444
Reference OM,HS+20,Near term (2026–2035),148,1.52772585226758
Reference OM,HS+20,Near term (2026–2035),149,0.887678634318669
Reference OM,HS+20,Near term (2026–2035),150,1.51850261397576
Reference OM,HS+20,Near term (2026–2035),151,1.10938577796024
Reference OM,HS+20,Near term (2026–2035),152,1.18833720452136
Reference OM,HS+20,Near term (2026–2035),153,0.835063911146852
Reference OM,HS+20,Near term (2026–2035),154,1.67044925789221
Reference OM,HS+20,Near term (2026–2035),155,1.41698993902088
Reference OM,HS+20,Near term (2026–2035),156,1.58214048871774
Reference OM,HS+20,Near term (2026–2035),157,1.41296891749104
Reference OM,HS+20,Near term (2026–2035),158,1.69187238744238
Reference OM,HS+20,Near term (2026–2035),159,1.50291421249257
Reference OM,HS+20,Near term (2026–2035),160,1.60572231926854
Reference OM,HS+20,Near term (2026–2035),161,1.61498305618839
Reference OM,HS+20,Near term (2026–2035),162,1.08754167161803
Reference OM,HS+20,Near term (2026–2035),163,1.14081787585032
Reference OM,HS+20,Near term (2026–2035),164,1.30503706470969
Reference OM,HS+20,Near term (2026–2035),165,1.31616375231103
Reference OM,HS+20,Near term (2026–2035),166,1.22980868156697
Reference OM,HS+20,Near term (2026–2035),167,1.86881688302889
Reference OM,HS+20,Near term (2026–2035),168,1.38550368652152
Reference OM,HS+20,Near term (2026–2035),169,1.04623083029862
Reference OM,HS+20,Near term (2026–2035),170,0.886820867481945
Reference OM,HS+20,Near term (2026–2035),171,1.43003414380735
Reference OM,HS+20,Near term (2026–2035),172,1.23643186819875
Reference OM,HS+20,Near term (2026–2035),173,1.26345189163147
Reference OM,HS+20,Near term (2026–2035),174,0.981974616162701
Reference OM,HS+20,Near term (2026–2035),175,1.55878413387054
Reference OM,HS+20,Near term (2026–2035),176,1.18128266664708
Reference OM,HS+20,Near term (2026–2035),177,1.04034398253716
Reference OM,HS+20,Near term (2026–2035),178,1.62939494316929
Reference OM,HS+20,Near term (2026–2035),179,0.858863434965281
Reference OM,HS+20,Near term (2026–2035),180,1.45858788409528
Reference OM,HS+20,Near term (2026–2035),181,1.44056295445438
Reference OM,HS+20,Near term (2026–2035),182,1.03705675904833
Reference OM,HS+20,Near term (2026–2035),183,1.67504421613372
Reference OM,HS+20,Near term (2026–2035),184,0.832470589986859
Reference OM,HS+20,Near term (2026–2035),185,1.12951027080001
Reference OM,HS+20,Near term (2026–2035),186,0.514723230919813
Reference OM,HS+20,Near term (2026–2035),187,2.04853831491674
Reference OM,HS+20,Near term (2026–2035),188,0.727761455590327
