mp,statistic,metric,value,display_value,direction,relative_badness,relative_preference,metric_min,metric_max,years,summary
HS+20 (MP29),SBMSY,SB / SB[MSY],1.51678317188188,1.52,higher is better,0,1,1.45060361138065,1.51678317188188,2041-2050,Median across iteration-specific 2041-2050 means
HS-20 (MP43),SBMSY,SB / SB[MSY],1.47262518182246,1.47,higher is better,0.667245139208739,0.332754860791261,1.45060361138065,1.51678317188188,2041-2050,Median across iteration-specific 2041-2050 means
HSsym (MP45),SBMSY,SB / SB[MSY],1.49020376631955,1.49,higher is better,0.401625598009665,0.598374401990335,1.45060361138065,1.51678317188188,2041-2050,Median across iteration-specific 2041-2050 means
HS-30 (MP47),SBMSY,SB / SB[MSY],1.49237307485411,1.49,higher is better,0.368846466233485,0.631153533766515,1.45060361138065,1.51678317188188,2041-2050,Median across iteration-specific 2041-2050 means
PR+20 (MP32),SBMSY,SB / SB[MSY],1.45313761182676,1.45,higher is better,0.961710225530013,0.0382897744699866,1.45060361138065,1.51678317188188,2041-2050,Median across iteration-specific 2041-2050 means
PR-20 (MP44),SBMSY,SB / SB[MSY],1.47147369503474,1.47,higher is better,0.684644571586373,0.315355428413627,1.45060361138065,1.51678317188188,2041-2050,Median across iteration-specific 2041-2050 means
PRsym (MP46),SBMSY,SB / SB[MSY],1.4629970092257,1.46,higher is better,0.812730732099362,0.187269267900638,1.45060361138065,1.51678317188188,2041-2050,Median across iteration-specific 2041-2050 means
PR-30 (MP48),SBMSY,SB / SB[MSY],1.45060361138065,1.45,higher is better,1,0,1.45060361138065,1.51678317188188,2041-2050,Median across iteration-specific 2041-2050 means
HS+20 (MP29),FMSY,F / F[MSY],0.852995166476652,0.85,lower is better,0,1,0.852995166476652,0.902072836237866,2041-2050,Median across iteration-specific 2041-2050 means
HS-20 (MP43),FMSY,F / F[MSY],0.899896924605787,0.90,lower is better,0.955663917161001,0.0443360828389989,0.852995166476652,0.902072836237866,2041-2050,Median across iteration-specific 2041-2050 means
HSsym (MP45),FMSY,F / F[MSY],0.864687974210474,0.86,lower is better,0.238251078152514,0.761748921847486,0.852995166476652,0.902072836237866,2041-2050,Median across iteration-specific 2041-2050 means
