"weight_scheme","mp","metric","raw_value","preferred_direction","normalized_score","include","scheme_weight","weighted_contribution","years","summary"
"Balanced: 50% fishing performance / 50% stock condition","PRsym (MP46)","SB / SB[MSY]",1.64631014147659,"higher is better",60.5613,TRUE,0.125,7.5702,"2041-2050","Median across iteration-specific 2041-2050 means"
"Balanced: 50% fishing performance / 50% stock condition","PRsym (MP46)","F / F[MSY]",0.916748853739748,"lower is better",59.7852,TRUE,0.125,7.4731,"2041-2050","Median across iteration-specific 2041-2050 means"
"Balanced: 50% fishing performance / 50% stock condition","PRsym (MP46)","Catch",1844.67311650807,"higher is better",100,TRUE,0.25,25,"2041-2050","Median across iteration-specific 2041-2050 means"
"Balanced: 50% fishing performance / 50% stock condition","PRsym (MP46)","IACC",8.88602488030723,"lower is better",7.8363,TRUE,0.25,1.9591,"2041-2050","Median across iteration-specific 2041-2050 means"
"Balanced: 50% fishing performance / 50% stock condition","PRsym (MP46)","VB / VB[2025]",5.7605686560126,"higher is better",100,TRUE,0.125,12.5,"2041-2050","Median across iteration-specific 2041-2050 means"
"Balanced: 50% fishing performance / 50% stock condition","PRsym (MP46)","VB / VB[MSY]",0.867540025111641,"higher is better",100,TRUE,0.125,12.5,"2041-2050","Median across iteration-specific 2041-2050 means"
"Balanced: 50% fishing performance / 50% stock condition","PR-20 (MP44)","SB / SB[MSY]",1.64339958980653,"higher is better",56.1147,TRUE,0.125,7.0143,"2041-2050","Median across iteration-specific 2041-2050 means"
"Balanced: 50% fishing performance / 50% stock condition","PR-20 (MP44)","F / F[MSY]",0.923441794232659,"lower is better",0,TRUE,0.125,0,"2041-2050","Median across iteration-specific 2041-2050 means"
"Balanced: 50% fishing performance / 50% stock condition","PR-20 (MP44)","Catch",1827.79031145529,"higher is better",70.2996,TRUE,0.25,17.5749,"2041-2050","Median across iteration-specific 2041-2050 means"
"Balanced: 50% fishing performance / 50% stock condition","PR-20 (MP44)","IACC",9.08445947254351,"lower is better",2.7631,TRUE,0.25,0.6908,"2041-2050","Median across iteration-specific 2041-2050 means"
"Balanced: 50% fishing performance / 50% stock condition","PR-20 (MP44)","VB / VB[2025]",5.74830733842985,"higher is better",96.4749,TRUE,0.125,12.0594,"2041-2050","Median across iteration-specific 2041-2050 means"
"Balanced: 50% fishing performance / 50% stock condition","PR-20 (MP44)","VB / VB[MSY]",0.863730791394911,"higher is better",82.778,TRUE,0.125,10.3472,"2041-2050","Median across iteration-specific 2041-2050 means"
"Balanced: 50% fishing performance / 50% stock condition","PR+20 (MP32)","SB / SB[MSY]",1.62176227878146,"higher is better",23.0583,TRUE,0.125,2.8823,"2041-2050","Median across iteration-specific 2041-2050 means"
"Balanced: 50% fishing performance / 50% stock condition","PR+20 (MP32)","F / F[MSY]",0.912823942265466,"lower is better",94.8447,TRUE,0.125,11.8556,"2041-2050","Median across iteration-specific 2041-2050 means"
"Balanced: 50% fishing performance / 50% stock condition","PR+20 (MP32)","Catch",1808.80604542823,"higher is better",36.9022,TRUE,0.25,9.2255,"2041-2050","Median across iteration-specific 2041-2050 means"
"Balanced: 50% fishing performance / 50% stock condition","PR+20 (MP32)","IACC",8.64974844799853,"lower is better",13.877,TRUE,0.25,3.4693,"2041-2050","Median across iteration-specific 2041-2050 means"
"Balanced: 50% fishing performance / 50% stock condition","PR+20 (MP32)","VB / VB[2025]",5.58769533762122,"higher is better",50.2995,TRUE,0.125,6.2874,"2041-2050","Median across iteration-specific 2041-2050 means"
"Balanced: 50% fishing performance / 50% stock condition","PR+20 (MP32)","VB / VB[MSY]",0.861588459150348,"higher is better",73.0922,TRUE,0.125,9.1365,"2041-2050","Median across iteration-specific 2041-2050 means"
"Balanced: 50% fishing performance / 50% stock condition","HS-30 (MP47)","SB / SB[MSY]",1.67156721898658,"higher is better",99.1478,TRUE,0.125,12.3935,"2041-2050","Median across iteration-specific 2041-2050 means"
"Balanced: 50% fishing performance / 50% stock condition","HS-30 (MP47)","F / F[MSY]",0.915706684626176,"lower is better",69.0944,TRUE,0.125,8.6368,"2041-2050","Median across iteration-specific 2041-2050 means"
"Balanced: 50% fishing performance / 50% stock condition","HS-30 (MP47)","Catch",1787.8295150926,"higher is better",0,TRUE,0.25,0,"2041-2050","Median across iteration-specific 2041-2050 means"
"Balanced: 50% fishing performance / 50% stock condition","HS-30 (MP47)","IACC",5.28535275867754,"lower is better",99.8917,TRUE,0.25,24.9729,"2041-2050","Median across iteration-specific 2041-2050 means"
"Balanced: 50% fishing performance / 50% stock condition","HS-30 (MP47)","VB / VB[2025]",5.47585596821757,"higher is better",18.146,TRUE,0.125,2.2683,"2041-2050","Median across iteration-specific 2041-2050 means"
"Balanced: 50% fishing performance / 50% stock condition","HS-30 (MP47)","VB / VB[MSY]",0.846612876973477,"higher is better",5.3857,TRUE,0.125,0.6732,"2041-2050","Median across iteration-specific 2041-2050 means"
"Balanced: 50% fishing performance / 50% stock condition","HS-20 (MP43)","SB / SB[MSY]",1.67171060123642,"higher is better",99.3668,TRUE,0.125,12.4209,"2041-2050","Median across iteration-specific 2041-2050 means"
"Balanced: 50% fishing performance / 50% stock condition","HS-20 (MP43)","F / F[MSY]",0.915725994065092,"lower is better",68.9219,TRUE,0.125,8.6152,"2041-2050","Median across iteration-specific 2041-2050 means"
"Balanced: 50% fishing performance / 50% stock condition","HS-20 (MP43)","Catch",1787.86381796553,"higher is better",0.0603,TRUE,0.25,0.0151,"2041-2050","Median across iteration-specific 2041-2050 means"
"Balanced: 50% fishing performance / 50% stock condition","HS-20 (MP43)","IACC",5.28607621894683,"lower is better",99.8732,TRUE,0.25,24.9683,"2041-2050","Median across iteration-specific 2041-2050 means"
"Balanced: 50% fishing performance / 50% stock condition","HS-20 (MP43)","VB / VB[2025]",5.47598259299558,"higher is better",18.1824,TRUE,0.125,2.2728,"2041-2050","Median across iteration-specific 2041-2050 means"
"Balanced: 50% fishing performance / 50% stock condition","HS-20 (MP43)","VB / VB[MSY]",0.846172982184671,"higher is better",3.3969,TRUE,0.125,0.4246,"2041-2050","Median across iteration-specific 2041-2050 means"
"Balanced: 50% fishing performance / 50% stock condition","HS+20 (MP29)","SB / SB[MSY]",1.67212504791497,"higher is better",100,TRUE,0.125,12.5,"2041-2050","Median across iteration-specific 2041-2050 means"
"Balanced: 50% fishing performance / 50% stock condition","HS+20 (MP29)","F / F[MSY]",0.915782050052947,"lower is better",68.4212,TRUE,0.125,8.5527,"2041-2050","Median across iteration-specific 2041-2050 means"
"Balanced: 50% fishing performance / 50% stock condition","HS+20 (MP29)","Catch",1787.95493740424,"higher is better",0.2206,TRUE,0.25,0.0552,"2041-2050","Median across iteration-specific 2041-2050 means"
"Balanced: 50% fishing performance / 50% stock condition","HS+20 (MP29)","IACC",5.28111725383502,"lower is better",100,TRUE,0.25,25,"2041-2050","Median across iteration-specific 2041-2050 means"
"Balanced: 50% fishing performance / 50% stock condition","HS+20 (MP29)","VB / VB[2025]",5.47634802554117,"higher is better",18.2875,TRUE,0.125,2.2859,"2041-2050","Median across iteration-specific 2041-2050 means"
"Balanced: 50% fishing performance / 50% stock condition","HS+20 (MP29)","VB / VB[MSY]",0.845421650277325,"higher is better",0,TRUE,0.125,0,"2041-2050","Median across iteration-specific 2041-2050 means"
"Balanced: 50% fishing performance / 50% stock condition","HSsym (MP45)","SB / SB[MSY]",1.67212504791497,"higher is better",100,TRUE,0.125,12.5,"2041-2050","Median across iteration-specific 2041-2050 means"
"Balanced: 50% fishing performance / 50% stock condition","HSsym (MP45)","F / F[MSY]",0.915782050052947,"lower is better",68.4212,TRUE,0.125,8.5527,"2041-2050","Median across iteration-specific 2041-2050 means"
"Balanced: 50% fishing performance / 50% stock condition","HSsym (MP45)","Catch",1787.95493740424,"higher is better",0.2206,TRUE,0.25,0.0552,"2041-2050","Median across iteration-specific 2041-2050 means"
"Balanced: 50% fishing performance / 50% stock condition","HSsym (MP45)","IACC",5.28111725383502,"lower is better",100,TRUE,0.25,25,"2041-2050","Median across iteration-specific 2041-2050 means"
"Balanced: 50% fishing performance / 50% stock condition","HSsym (MP45)","VB / VB[2025]",5.47634802554117,"higher is better",18.2875,TRUE,0.125,2.2859,"2041-2050","Median across iteration-specific 2041-2050 means"
"Balanced: 50% fishing performance / 50% stock condition","HSsym (MP45)","VB / VB[MSY]",0.845421650277325,"higher is better",0,TRUE,0.125,0,"2041-2050","Median across iteration-specific 2041-2050 means"
"Balanced: 50% fishing performance / 50% stock condition","PR-30 (MP48)","SB / SB[MSY]",1.60666931172174,"higher is better",0,TRUE,0.125,0,"2041-2050","Median across iteration-specific 2041-2050 means"
