selection_order,iter,mp,cmp,year,catch
2,100,tun29,HS+20 (MP29),2026,1177.24999991646
2,100,tun29,HS+20 (MP29),2027,1119.51989335931
2,100,tun29,HS+20 (MP29),2028,951.591897101301
2,100,tun29,HS+20 (MP29),2029,1141.91028194485
2,100,tun29,HS+20 (MP29),2030,1330.80862909512
2,100,tun29,HS+20 (MP29),2031,1301.03895083194
2,100,tun29,HS+20 (MP29),2032,1105.8831063666
2,100,tun29,HS+20 (MP29),2033,940.000641943563
2,100,tun29,HS+20 (MP29),2034,961.699827968365
2,100,tun29,HS+20 (MP29),2035,842.344983896134
2,100,tun29,HS+20 (MP29),2036,715.993236310128
2,100,tun29,HS+20 (MP29),2037,608.594250864266
2,100,tun29,HS+20 (MP29),2038,517.305113235163
2,100,tun29,HS+20 (MP29),2039,439.70934510413
2,100,tun29,HS+20 (MP29),2040,429.743411348645
2,100,tun29,HS+20 (MP29),2041,513.473941944125
2,100,tun29,HS+20 (MP29),2042,616.168730324485
2,100,tun29,HS+20 (MP29),2043,739.402476352647
2,100,tun29,HS+20 (MP29),2044,887.282971172552
2,100,tun29,HS+20 (MP29),2045,1064.73955069708
2,100,tun29,HS+20 (MP29),2046,1277.68746878817
2,100,tun29,HS+20 (MP29),2047,1533.22494760437
2,100,tun29,HS+20 (MP29),2048,1839.86996427998
2,100,tun29,HS+20 (MP29),2049,1970.7858726998
2,100,tun29,HS+20 (MP29),2050,1999.9999995318
3,122,tun29,HS+20 (MP29),2026,1177.24999999925
3,122,tun29,HS+20 (MP29),2027,1119.52015014814
3,122,tun29,HS+20 (MP29),2028,1102.72281148624
3,122,tun29,HS+20 (MP29),2029,1298.02117537525
3,122,tun29,HS+20 (MP29),2030,1399.97939665555
3,122,tun29,HS+20 (MP29),2031,1477.82310431346
3,122,tun29,HS+20 (MP29),2032,1256.14963866642
3,122,tun29,HS+20 (MP29),2033,1085.72004046873
3,122,tun29,HS+20 (MP29),2034,1247.47366122568
3,122,tun29,HS+20 (MP29),2035,1407.98304327397
3,122,tun29,HS+20 (MP29),2036,1335.2488962064
3,122,tun29,HS+20 (MP29),2037,1134.96156170254
3,122,tun29,HS+20 (MP29),2038,992.999557002232
3,122,tun29,HS+20 (MP29),2039,943.959220923236
3,122,tun29,HS+20 (MP29),2040,1063.35328126752
3,122,tun29,HS+20 (MP29),2041,1231.82228030063
3,122,tun29,HS+20 (MP29),2042,1478.18673633522
3,122,tun29,HS+20 (MP29),2043,1773.82408363317
3,122,tun29,HS+20 (MP29),2044,1977.84594092857
3,122,tun29,HS+20 (MP29),2045,1681.16904700929
3,122,tun29,HS+20 (MP29),2046,1460.13980001356
3,122,tun29,HS+20 (MP29),2047,1331.18889922656
3,122,tun29,HS+20 (MP29),2048,1131.51056340651
3,122,tun29,HS+20 (MP29),2049,961.783979691187
3,122,tun29,HS+20 (MP29),2050,854.243712440859
1,130,tun29,HS+20 (MP29),2026,1177.24999999863
1,130,tun29,HS+20 (MP29),2027,1119.51944269689
1,130,tun29,HS+20 (MP29),2028,951.591525987051
1,130,tun29,HS+20 (MP29),2029,989.86493948573
1,130,tun29,HS+20 (MP29),2030,1176.77067042499
1,130,tun29,HS+20 (MP29),2031,1324.10361282249
1,130,tun29,HS+20 (MP29),2032,1400.62651649828
1,130,tun29,HS+20 (MP29),2033,1680.75180291315
1,130,tun29,HS+20 (MP29),2034,1653.40237769793
1,130,tun29,HS+20 (MP29),2035,1870.43068075853
1,130,tun29,HS+20 (MP29),2036,1714.26307587753
1,130,tun29,HS+20 (MP29),2037,1821.57833916736
1,130,tun29,HS+20 (MP29),2038,1902.25204840987
1,130,tun29,HS+20 (MP29),2039,1999.99998776011
1,130,tun29,HS+20 (MP29),2040,1835.2312476107
1,130,tun29,HS+20 (MP29),2041,1559.94655603919
1,130,tun29,HS+20 (MP29),2042,1382.57021417432
1,130,tun29,HS+20 (MP29),2043,1229.07260936599
1,130,tun29,HS+20 (MP29),2044,1076.36555281619
1,130,tun29,HS+20 (MP29),2045,914.910720332891
