om,biol,mp,period,metric,median,lower,upper
h1_0.16,CJM,MP29,Short term (2026-2035),VB / VB[2025],3.19077120331178,1.7692955351025,6.47926271866657
h1_0.16,CJM,MP29,Short term (2026-2035),VB / VB[MSY],0.506137780562685,0.279405993059046,0.907908327536363
h1_0.16,CJM,MP43,Short term (2026-2035),VB / VB[2025],3.21304915124626,1.78727994092457,6.50904810095425
h1_0.16,CJM,MP43,Short term (2026-2035),VB / VB[MSY],0.509531964830789,0.281567612800778,0.912727376309202
h1_0.16,CJM,,Short term (2026-2035),VB / VB[2025],3.56237289303132,1.97029128283598,7.10300178883432
h1_0.16,CJM,,Short term (2026-2035),VB / VB[MSY],0.562397915980802,0.298040036342075,1.02147180101633
h1_0.16,CJM,MP32,Short term (2026-2035),VB / VB[2025],3.79050686229712,2.21718055078135,7.2436108484277
h1_0.16,CJM,MP32,Short term (2026-2035),VB / VB[MSY],0.601821858685573,0.34641904513529,1.04514451188706
h1_0.16,CJM,MP44,Short term (2026-2035),VB / VB[2025],3.99801971005706,2.35992533264018,7.58925933545956
h1_0.16,CJM,MP44,Short term (2026-2035),VB / VB[MSY],0.63877538367953,0.36408055208516,1.09296096136575
h1_0.16,CJM,MP29,Long term (2041-2050),VB / VB[2025],5.47634802554117,1.03552312789898,23.4156253225464
h1_0.16,CJM,MP29,Long term (2041-2050),VB / VB[MSY],0.845421650277325,0.206050458205755,2.78621795214826
h1_0.16,CJM,MP43,Long term (2041-2050),VB / VB[2025],5.47598259299558,1.03577938778265,23.4149654202781
h1_0.16,CJM,MP43,Long term (2041-2050),VB / VB[MSY],0.846172982184671,0.206696679534334,2.78644043622074
h1_0.16,CJM,,Long term (2041-2050),VB / VB[2025],5.48345308484184,1.18451046693385,21.6610506432213
h1_0.16,CJM,,Long term (2041-2050),VB / VB[MSY],0.854447397449194,0.224212674934582,2.59792632904058
h1_0.16,CJM,MP32,Long term (2041-2050),VB / VB[2025],5.58769533762122,1.35483301105721,18.1651865667338
h1_0.16,CJM,MP32,Long term (2041-2050),VB / VB[MSY],0.861588459150348,0.238110221766009,2.3531159225721
h1_0.16,CJM,MP44,Long term (2041-2050),VB / VB[2025],5.74830733842985,1.45891999516935,18.5681085599252
h1_0.16,CJM,MP44,Long term (2041-2050),VB / VB[MSY],0.863730791394911,0.263582697874799,2.41638712426144
