cmp_id,label,status,estimator,hcr,indices,reference_years,window_years,metric,output,min,lim,trigger,target,initial,dlow,dupp,implementation,primary_source
MP29,HS+20,advanced candidate,cpues.ind,hockeystick.hcr,Chile_AcousN + Chile_CPUE + Peru_Artis + Peru_Ind + Offshore_CPUE,2019-2023,3,mean,catch,270,0.1,2.3125,2000,1385,0.85,1.20,split.is using last-5-year catch proportions,jmMSE 500-posterior model_tune.R run
MP43,HS-20,comparison case,cpues.ind,hockeystick.hcr,Chile_AcousN + Chile_CPUE + Peru_Artis + Peru_Ind + Offshore_CPUE,2019-2023,3,mean,catch,270,0.1,2.3125,2000,1385,0.80,1.15,split.is using last-5-year catch proportions,jmMSE 500-posterior tune_candidate_change_limits.R run
MP45,HSsym,comparison case,cpues.ind,hockeystick.hcr,Chile_AcousN + Chile_CPUE + Peru_Artis + Peru_Ind + Offshore_CPUE,2019-2023,3,mean,catch,270,0.1,2.3125,2000,1385,0.85,1.15,split.is using last-5-year catch proportions,jmMSE 500-posterior tune_candidate_change_limits.R run
MP47,HS-30,comparison case,cpues.ind,hockeystick.hcr,Chile_AcousN + Chile_CPUE + Peru_Artis + Peru_Ind + Offshore_CPUE,2019-2023,3,mean,catch,270,0.1,2.3125,2000,1385,0.70,1.20,split.is using last-5-year catch proportions,jmMSE 500-posterior tune_candidate_change_limits.R run
MP32,PR+20,advanced candidate,cpues.ind,powerramp.hcr,Chile_AcousN + Chile_CPUE + Peru_Artis + Peru_Ind + Offshore_CPUE,2019-2023,3,mean,catch,270,0.1,1.703125,1500,1385,0.85,1.20,split.is using last-5-year catch proportions,jmMSE 500-posterior model_tune.R run
MP44,PR-20,comparison case,cpues.ind,powerramp.hcr,Chile_AcousN + Chile_CPUE + Peru_Artis + Peru_Ind + Offshore_CPUE,2019-2023,3,mean,catch,270,0.1,1.65625,1500,1385,0.80,1.15,split.is using last-5-year catch proportions,jmMSE 500-posterior tune_candidate_change_limits.R run
MP46,PRsym,comparison case,cpues.ind,powerramp.hcr,Chile_AcousN + Chile_CPUE + Peru_Artis + Peru_Ind + Offshore_CPUE,2019-2023,3,mean,catch,270,0.1,1.6796875,1500,1385,0.85,1.15,split.is using last-5-year catch proportions,jmMSE 500-posterior tune_candidate_change_limits.R run
MP48,PR-30,comparison case,cpues.ind,powerramp.hcr,Chile_AcousN + Chile_CPUE + Peru_Artis + Peru_Ind + Offshore_CPUE,2019-2023,3,mean,catch,270,0.1,1.609375,1500,1385,0.70,1.20,split.is using last-5-year catch proportions,jmMSE 500-posterior tune_candidate_change_limits.R run
MP18,MP18,comparison case,cpues.ind,hockeystick.hcr,Chile_AcousN + Chile_CPUE + Peru_Artis + Peru_Ind + Offshore_CPUE,2019-2023,3,mean,catch,0,0,5.796875,5000,1385,0.85,1.20,split.is using last-5-year catch proportions,jmMSE candidate_mps.csv and model_tune.R
MP24,MP24,comparison case,cpues.ind,hockeystick.hcr,Chile_AcousN + Chile_CPUE + Peru_Artis + Peru_Ind + Offshore_CPUE,2019-2023,3,mean,catch,0,0,1.5125,1750,1385,0.85,1.20,split.is using last-5-year catch proportions,jmMSE candidate_mps.csv and model_tune.R
MP31,MP31,comparison case,cpues.ind,hockeystick.hcr,Chile_AcousN + Chile_CPUE + Peru_Artis + Peru_Ind + Offshore_CPUE,2019-2023,3,mean,catch,270,0.3,1.984375,2000,1385,0.85,1.20,split.is using last-5-year catch proportions,jmMSE candidate_mps.csv and model_tune.R
MP23,MP23,comparison case,cpues.ind,slope.hcr,Chile_AcousN + Chile_CPUE + Peru_Artis + Peru_Ind + Offshore_CPUE,2019-2023,5,mean,catch,0,0,,,1385,0.85,1.20,split.is using last-5-year catch proportions; slope 821.875,jmMSE candidate_mps.csv and model_tune.R
MP35,MP35,comparison case,cpues.ind,powerramp.hcr,Chile_CPUE + Peru_Artis + Peru_Ind + Offshore_CPUE,2019-2023,3,mean,catch,270,0.1,1.4921875,1500,1385,0.85,1.20,split.is using last-5-year catch proportions,jmMSE candidate_mps.csv and model_tune.R
MP36,MP36,comparison case,cpues.ind,hockeystick.hcr,Chile_CPUE + Peru_Artis + Peru_Ind + Offshore_CPUE,2019-2023,3,mean,catch,270,0.1,2.21875,2000,1385,0.85,1.20,split.is using last-5-year catch proportions,jmMSE candidate_mps.csv and model_tune.R
