"area","check","outcome","expected","observed","source","note"
"release identity","SPRFMO/jmMSE26 revision","Pass","SC14-MSE-2026-RC1","SC14-MSE-2026-RC1 resolves to current commit",".",""
"release identity","SPRFMO/jmMSE26 tracked files","Pass","no uncommitted tracked changes","none",".",""
"release identity","SPRFMO/jmMSE revision","Pass","77968e4a9febcad5315a7c00419b6d1690e3e102","77968e4a9febcad5315a7c00419b6d1690e3e102","../jmMSE-500-refine",""
"release identity","SPRFMO/jmMSE tracked files","Pass","no uncommitted tracked changes","none","../jmMSE-500-refine",""
"CMP definitions","SC14 CMP membership","Pass","MP29, MP32, MP43, MP44, MP45, MP46, MP47, MP48","MP29, MP32, MP43, MP44, MP45, MP46, MP47, MP48","doc/data/cmp-registry.csv",""
"CMP definitions","simulation-control membership","Pass","tun29, tun32, tun43, tun44, tun45, tun46, tun47, tun48","tun29, tun32, tun43, tun44, tun45, tun46, tun47, tun48","../jmMSE-500-refine/candidate_mps_500.csv",""
"CMP definitions","registry agrees with simulation controls","Pass","all eight HCRs and numerical settings agree","all agree","doc/data/cmp-registry.csv; ../jmMSE-500-refine/candidate_mps_500.csv",""
"tuning","registry agrees with 500-draw tuning summary","Pass","eight matching labels and triggers","all agree","../jmMSE-500-refine/output/tune/tuning_500_from_100_summary.csv",""
"simulation results","reference CMP membership","Pass","tun29, tun32, tun43, tun44, tun45, tun46, tun47, tun48","tun29, tun32, tun43, tun44, tun45, tun46, tun47, tun48","output/candidate-performance-500/reference/performance_with_vb.rds",""
"simulation results","reference draws","Pass","500","500","output/candidate-performance-500/reference/performance_with_vb.rds",""
"simulation results","reference years","Pass","2024-2050","2024-2050","output/candidate-performance-500/reference/performance_with_vb.rds",""
"simulation results","reference statistics","Pass","C, FMSY, IACC, SBMSY, VB2025, VBMSY","C, FMSY, IACC, SBMSY, VB2025, VBMSY","output/candidate-performance-500/reference/performance_with_vb.rds",""
"simulation results","robustness CMP membership","Pass","tun29, tun32, tun43, tun44, tun45, tun46, tun47, tun48","tun29, tun32, tun43, tun44, tun45, tun46, tun47, tun48","output/candidate-performance-500/robustness/performance_with_vb.rds",""
"simulation results","robustness draws","Pass","500","500","output/candidate-performance-500/robustness/performance_with_vb.rds",""
