run,mp,om,label,hcr,estimator,target,min,lim,trigger,dlow,dupp
tun29_om11_1,tun29,om11_1,MP29,hockeystick,all.idx,2000,270,0.1,2.125,0.85,1.2
tun32_om11_1,tun32,om11_1,MP32,powerramp,all.idx,1500,270,0.1,1.421875,0.85,1.2
tun29_om11_2,tun29,om11_2,MP29,hockeystick,all.idx,2000,270,0.1,2.125,0.85,1.2
tun32_om11_2,tun32,om11_2,MP32,powerramp,all.idx,1500,270,0.1,1.421875,0.85,1.2
tun29_om11_3,tun29,om11_3,MP29,hockeystick,all.idx,2000,270,0.1,2.125,0.85,1.2
tun32_om11_3,tun32,om11_3,MP32,powerramp,all.idx,1500,270,0.1,1.421875,0.85,1.2
tun29_om12,tun29,om12,MP29,hockeystick,all.idx,2000,270,0.1,2.125,0.85,1.2
tun32_om12,tun32,om12,MP32,powerramp,all.idx,1500,270,0.1,1.421875,0.85,1.2
tun29_om13,tun29,om13,MP29,hockeystick,all.idx,2000,270,0.1,2.125,0.85,1.2
tun32_om13,tun32,om13,MP32,powerramp,all.idx,1500,270,0.1,1.421875,0.85,1.2
tun29_om21,tun29,om21,MP29,hockeystick.hcr,all.idx,2000,270,0.1,2.125,0.85,1.2
tun32_om21,tun32,om21,MP32,powerramp,all.idx,1500,270,0.1,1.421875,0.85,1.2
tun29_om21_1,tun29,om21_1,MP29,hockeystick.hcr,all.idx,2000,270,0.1,2.125,0.85,1.2
tun32_om21_1,tun32,om21_1,MP32,powerramp,all.idx,1500,270,0.1,1.421875,0.85,1.2
tun29_om22,tun29,om22,MP29,hockeystick.hcr,all.idx,2000,270,0.1,2.125,0.85,1.2
tun32_om22,tun32,om22,MP32,powerramp,all.idx,1500,270,0.1,1.421875,0.85,1.2
tun29_om23,tun29,om23,MP29,hockeystick.hcr,all.idx,2000,270,0.1,2.125,0.85,1.2
tun32_om23,tun32,om23,MP32,powerramp,all.idx,1500,270,0.1,1.421875,0.85,1.2
tun43_om11_1,tun43,om11_1,MP43,hockeystick,all.idx,2000,270,0.1,3.0625,0.8,1.15
tun44_om11_1,tun44,om11_1,MP44,powerramp,all.idx,1500,270,0.1,1.9140625,0.8,1.15
tun43_om11_2,tun43,om11_2,MP43,hockeystick,all.idx,2000,270,0.1,3.0625,0.8,1.15
tun44_om11_2,tun44,om11_2,MP44,powerramp,all.idx,1500,270,0.1,1.9140625,0.8,1.15
tun43_om11_3,tun43,om11_3,MP43,hockeystick,all.idx,2000,270,0.1,3.0625,0.8,1.15
tun44_om11_3,tun44,om11_3,MP44,powerramp,all.idx,1500,270,0.1,1.9140625,0.8,1.15
tun43_om12,tun43,om12,MP43,hockeystick,all.idx,2000,270,0.1,3.0625,0.8,1.15
tun44_om12,tun44,om12,MP44,powerramp,all.idx,1500,270,0.1,1.9140625,0.8,1.15
tun43_om13,tun43,om13,MP43,hockeystick,all.idx,2000,270,0.1,3.0625,0.8,1.15
tun44_om13,tun44,om13,MP44,powerramp,all.idx,1500,270,0.1,1.9140625,0.8,1.15
tun43_om21,tun43,om21,MP43,hockeystick.hcr,all.idx,2000,270,0.1,3.0625,0.8,1.15
tun44_om21,tun44,om21,MP44,powerramp,all.idx,1500,270,0.1,1.9140625,0.8,1.15
tun43_om21_1,tun43,om21_1,MP43,hockeystick.hcr,all.idx,2000,270,0.1,3.0625,0.8,1.15
tun44_om21_1,tun44,om21_1,MP44,powerramp,all.idx,1500,270,0.1,1.9140625,0.8,1.15
tun43_om22,tun43,om22,MP43,hockeystick.hcr,all.idx,2000,270,0.1,3.0625,0.8,1.15
tun44_om22,tun44,om22,MP44,powerramp,all.idx,1500,270,0.1,1.9140625,0.8,1.15
tun43_om23,tun43,om23,MP43,hockeystick.hcr,all.idx,2000,270,0.1,3.0625,0.8,1.15
tun44_om23,tun44,om23,MP44,powerramp,all.idx,1500,270,0.1,1.9140625,0.8,1.15
