mp,label,hcr,estimator,metric,output,target,min,lim,trigger,dlow,dupp,slope
tun16,MP16,hockeystick,all.idx,mean,catch,2000,0,0,2.09375,0.85,1.2,955.223880597015
tun17,MP17,hockeystick,all.idx,mean,catch,3500,0,0,5.1015625,0.85,1.2,686.064318529862
tun18,MP18,hockeystick,all.idx,mean,catch,5000,0,0,7.671875,0.85,1.2,651.73116089613
tun19,MP19,hockeystick,all.idx,mean,catch,1750,270,0.1,1.64375,0.85,1.2,1064.63878326996
tun20,MP20,hockeystick,all.idx,mean,catch,1750,270,0.2,1.565625,0.85,1.2,1117.76447105788
tun21,MP21,hockeystick,all.idx,mean,catch,2000,0,0,2.125,0.8,1.15,941.176470588235
tun22,MP22,powerramp,all.idx,mean,catch,1500,270,0,1.65625,0.85,1.2,
tun23,MP23,slope,all.idx,mean,catch,,0,0,,0.85,1.2,634.375
tun24,MP24,hockeystick,all.idx,mean,catch,1750,0,0,1.5125,0.85,1.2,1157.02479338843
tun25,MP25,powerramp,all.idx,mean,catch,1500,0,0,1.65625,0.85,1.2,
tun26,MP26,powerramp,all.idx,mean,catch,1750,0,0,2.1015625,0.85,1.2,
tun27,MP27,powerramp,all.idx,mean,catch,2000,0,0,2.546875,0.85,1.2,
tun28,MP28,powerramp,all.idx,mean,catch,3500,0,0,4.171875,0.85,1.2,
tun29,MP29,hockeystick,all.idx,mean,catch,2000,270,0.1,2.3125,0.85,1.2,864.864864864865
tun30,MP30,hockeystick,all.idx,mean,catch,2000,270,0.2,2.21875,0.85,1.2,901.408450704225
tun31,MP31,hockeystick,all.idx,mean,catch,2000,270,0.3,2.125,0.85,1.2,941.176470588235
tun32,MP32,powerramp,all.idx,mean,catch,1500,270,0.1,1.703125,0.85,1.2,
tun33,MP33,powerramp,all.idx,mean,catch,1500,270,0.2,1.75,0.85,1.2,
tun34,MP34,powerramp,all.idx,mean,catch,1500,270,0.3,1.7734375,0.85,1.2,
tun35,MP35,powerramp,all.cpue,mean,catch,1500,270,0.1,1.796875,0.85,1.2,
tun36,MP36,hockeystick,all.cpue,mean,catch,2000,270,0.1,2.3125,0.85,1.2,864.864864864865
tun37,MP37,powerramp,shortcut.sa,depletion,catch,1500,270,0.1,0.37001953125,0.85,1.2,
tun38,MP38,hockeystick,shortcut.sa,depletion,catch,2000,270,0.1,0.4703125,0.85,1.2,4252.49169435216
tun39,MP39,powerramp,perfect.sa,depletion,catch,1500,270,0.1,0.37001953125,0.85,1.2,
tun40,MP40,hockeystick,shortcut.sa,depletion,catch,2000,270,0.1,0.4703125,0.85,1.2,4252.49169435216
tun41,MP41,hockeystick,all.idx,mean,catch,2000,270,0.1,2.25,0.85,1.2,888.888888888889
tun42,MP42,powerramp,all.idx,mean,catch,1500,270,0.1,1.703125,0.85,1.2,
tun43,MP43,hockeystick,all.idx,mean,catch,2000,270,0.1,2.3125,0.8,1.15,864.864864864865
tun44,MP44,powerramp,all.idx,mean,catch,1500,270,0.1,1.65625,0.8,1.15,
tun45,MP45,hockeystick,all.idx,mean,catch,2000,270,0.1,2.3125,0.85,1.15,864.864864864865
tun46,MP46,powerramp,all.idx,mean,catch,1500,270,0.1,1.6796875,0.85,1.15,
tun47,MP47,hockeystick,all.idx,mean,catch,2000,270,0.1,2.3125,0.7,1.2,864.864864864865
tun48,MP48,powerramp,all.idx,mean,catch,1500,270,0.1,1.609375,0.7,1.2,
