"set","om","stock","cmp_code","cmp","p_dynamic_kobe_green","p_sb_below_dynamic_sbmsy","max_annual_p_sb_below_dynamic_sbmsy","p_any_year_sb_below_dynamic_sbmsy","p_f_above_fmsy","median_long_term_catch","median_long_term_iacc","annual_use_ready"
"Reference","om11","CJM","tun29","HS+20",0.6098,0.3022,0.318,0.452,0.3698,1570.838213,5.52282,"No -- operational specification remains"
"Reference","om11","CJM","tun43","HS-20",0.5918,0.321,0.332,0.472,0.387,1552.012091,5.576719,"No -- operational specification remains"
"Reference","om11","CJM","tun45","HSsym",0.6042,0.3094,0.32,0.454,0.3738,1557.927497,5.405592,"No -- operational specification remains"
"Reference","om11","CJM","tun47","HS-30",0.6038,0.306,0.322,0.464,0.3752,1568.716891,6.010693,"No -- operational specification remains"
"Reference","om11","CJM","tun32","PR+20",0.6026,0.3036,0.328,0.52,0.3658,1881.546383,10.518888,"No -- operational specification remains"
"Reference","om11","CJM","tun44","PR-20",0.5984,0.297,0.322,0.522,0.3638,1923.173214,10.670985,"No -- operational specification remains"
"Reference","om11","CJM","tun46","PRsym",0.5954,0.305,0.334,0.52,0.3746,1914.421761,10.117495,"No -- operational specification remains"
"Reference","om11","CJM","tun48","PR-30",0.6056,0.2944,0.306,0.532,0.338,1865.557956,11.641363,"No -- operational specification remains"
"Robustness CJM","om11_1","CJM","tun29","HS+20",0.4118,0.513,0.54,0.612,0.5718,1436.404332,6.17632,"No -- operational specification remains"
"Robustness CJM","om11_1","CJM","tun43","HS-20",0.4062,0.5254,0.55,0.622,0.5766,1411.20426,6.0722,"No -- operational specification remains"
"Robustness CJM","om11_1","CJM","tun45","HSsym",0.4146,0.5118,0.536,0.61,0.5704,1428.504195,5.895074,"No -- operational specification remains"
"Robustness CJM","om11_1","CJM","tun47","HS-30",0.4078,0.522,0.544,0.624,0.574,1429.940577,6.344039,"No -- operational specification remains"
"Robustness CJM","om11_1","CJM","tun32","PR+20",0.257,0.614,0.682,0.832,0.7058,1797.117455,10.905374,"No -- operational specification remains"
"Robustness CJM","om11_1","CJM","tun44","PR-20",0.2532,0.5858,0.672,0.828,0.7068,1912.258523,11.312512,"No -- operational specification remains"
"Robustness CJM","om11_1","CJM","tun46","PRsym",0.2602,0.5942,0.678,0.822,0.7082,1873.593304,10.72096,"No -- operational specification remains"
"Robustness CJM","om11_1","CJM","tun48","PR-30",0.2472,0.6134,0.666,0.85,0.6942,1805.386183,11.94615,"No -- operational specification remains"
"Robustness CJM","om11_2","CJM","tun29","HS+20",0.4522,0.4286,0.48,0.638,0.5178,1396.839772,8.674947,"No -- operational specification remains"
"Robustness CJM","om11_2","CJM","tun43","HS-20",0.428,0.4556,0.532,0.672,0.5382,1371.861526,8.704272,"No -- operational specification remains"
"Robustness CJM","om11_2","CJM","tun45","HSsym",0.4462,0.4374,0.484,0.64,0.5228,1381.835649,8.436777,"No -- operational specification remains"
"Robustness CJM","om11_2","CJM","tun47","HS-30",0.4436,0.432,0.512,0.652,0.5192,1401.990661,9.15441,"No -- operational specification remains"
"Robustness CJM","om11_2","CJM","tun32","PR+20",0.5294,0.3478,0.406,0.572,0.4224,1472.512235,12.061345,"No -- operational specification remains"
"Robustness CJM","om11_2","CJM","tun44","PR-20",0.5452,0.3238,0.386,0.558,0.4012,1498.260324,12.291409,"No -- operational specification remains"
"Robustness CJM","om11_2","CJM","tun46","PRsym",0.5238,0.342,0.392,0.558,0.4334,1506.45451,11.288451,"No -- operational specification remains"
"Robustness CJM","om11_2","CJM","tun48","PR-30",0.5754,0.3088,0.398,0.562,0.3422,1428.989274,13.880556,"No -- operational specification remains"
"Robustness CJM","om11_3","CJM","tun29","HS+20",0.4594,0.4522,0.492,0.638,0.5112,1428.014185,7.646231,"No -- operational specification remains"
"Robustness CJM","om11_3","CJM","tun43","HS-20",0.441,0.4698,0.508,0.656,0.5346,1407.987693,7.654685,"No -- operational specification remains"
"Robustness CJM","om11_3","CJM","tun45","HSsym",0.4614,0.4558,0.486,0.64,0.513,1417.411921,7.315722,"No -- operational specification remains"
"Robustness CJM","om11_3","CJM","tun47","HS-30",0.4418,0.4638,0.512,0.656,0.528,1428.074343,8.014093,"No -- operational specification remains"
"Robustness CJM","om11_3","CJM","tun32","PR+20",0.509,0.3966,0.422,0.644,0.4418,1625.750398,11.117353,"No -- operational specification remains"
"Robustness CJM","om11_3","CJM","tun44","PR-20",0.515,0.3854,0.406,0.65,0.4294,1652.343775,11.391297,"No -- operational specification remains"
"Robustness CJM","om11_3","CJM","tun46","PRsym",0.5036,0.3978,0.426,0.646,0.4512,1660.393187,10.745352,"No -- operational specification remains"
"Robustness CJM","om11_3","CJM","tun48","PR-30",0.5308,0.3736,0.39,0.648,0.3832,1597.401099,12.516288,"No -- operational specification remains"
"Robustness CJM","om12","CJM","tun29","HS+20",0.6946,0.2322,0.246,0.44,0.2866,1406.264932,8.65563,"No -- operational specification remains"
"Robustness CJM","om12","CJM","tun43","HS-20",0.6882,0.2404,0.258,0.464,0.2898,1391.733681,8.70627,"No -- operational specification remains"
"Robustness CJM","om12","CJM","tun45","HSsym",0.6854,0.2392,0.258,0.436,0.296,1392.708558,8.369892,"No -- operational specification remains"
"Robustness CJM","om12","CJM","tun47","HS-30",0.7162,0.2138,0.236,0.432,0.2604,1415.539841,9.368685,"No -- operational specification remains"
"Robustness CJM","om12","CJM","tun32","PR+20",0.7362,0.2142,0.234,0.408,0.242,1437.075955,11.841373,"No -- operational specification remains"
"Robustness CJM","om12","CJM","tun44","PR-20",0.7428,0.2062,0.224,0.412,0.2314,1421.394507,12.143412,"No -- operational specification remains"
"Robustness CJM","om12","CJM","tun46","PRsym",0.721,0.2218,0.244,0.41,0.2562,1446.088497,11.189885,"No -- operational specification remains"
"Robustness CJM","om12","CJM","tun48","PR-30",0.7878,0.1706,0.184,0.38,0.1856,1387.00502,13.859112,"No -- operational specification remains"
"Robustness CJM","om13","CJM","tun29","HS+20",0.9144,0.0704,0.082,0.146,0.0676,1652.064434,6.387705,"No -- operational specification remains"
"Robustness CJM","om13","CJM","tun43","HS-20",0.9,0.0796,0.092,0.166,0.0756,1657.842528,6.12906,"No -- operational specification remains"
"Robustness CJM","om13","CJM","tun45","HSsym",0.9078,0.074,0.086,0.148,0.075,1650.447412,6.069479,"No -- operational specification remains"
"Robustness CJM","om13","CJM","tun47","HS-30",0.9134,0.0682,0.082,0.15,0.064,1661.365109,6.546921,"No -- operational specification remains"
"Robustness CJM","om13","CJM","tun32","PR+20",0.9484,0.043,0.058,0.082,0.0418,1811.896972,10.205812,"No -- operational specification remains"
"Robustness CJM","om13","CJM","tun44","PR-20",0.9598,0.0336,0.046,0.078,0.0314,1814.070229,10.000698,"No -- operational specification remains"
"Robustness CJM","om13","CJM","tun46","PRsym",0.951,0.0412,0.056,0.086,0.04,1812.042716,9.644082,"No -- operational specification remains"
"Robustness CJM","om13","CJM","tun48","PR-30",0.965,0.028,0.038,0.074,0.0242,1820.680932,11.027043,"No -- operational specification remains"
"Robustness 2-stock","om21","North","tun29","HS+20",0,1,1,1,1,216.18221,12.277213,"No -- operational specification remains"
"Robustness 2-stock","om21","North","tun43","HS-20",0,1,1,1,1,211.318254,12.275084,"No -- operational specification remains"
"Robustness 2-stock","om21","North","tun45","HSsym",0,1,1,1,1,214.533979,12.228704,"No -- operational specification remains"
"Robustness 2-stock","om21","North","tun47","HS-30",0,1,1,1,1,213.049587,12.166174,"No -- operational specification remains"
"Robustness 2-stock","om21","North","tun32","PR+20",0,1,1,1,1,214.81455,14.432987,"No -- operational specification remains"
"Robustness 2-stock","om21","North","tun44","PR-20",0,1,1,1,1,214.156307,14.463505,"No -- operational specification remains"
"Robustness 2-stock","om21","North","tun46","PRsym",0,1,1,1,1,215.497418,14.161493,"No -- operational specification remains"
"Robustness 2-stock","om21","North","tun48","PR-30",0,1,1,1,1,214.214041,15.229879,"No -- operational specification remains"
"Robustness 2-stock","om21","Southern","tun29","HS+20",0.6128,0.2338,0.28,0.35,0.2972,1070.175546,4.864821,"No -- operational specification remains"
"Robustness 2-stock","om21","Southern","tun43","HS-20",0.4366,0.4098,0.492,0.558,0.4452,1061.147327,4.879873,"No -- operational specification remains"
"Robustness 2-stock","om21","Southern","tun45","HSsym",0.5586,0.282,0.342,0.416,0.343,1067.454341,4.848164,"No -- operational specification remains"
"Robustness 2-stock","om21","Southern","tun47","HS-30",0.5008,0.337,0.394,0.48,0.3926,1064.819561,4.895386,"No -- operational specification remains"
"Robustness 2-stock","om21","Southern","tun32","PR+20",0.9128,0.0156,0.044,0.074,0.0778,1049.197465,9.110571,"No -- operational specification remains"
"Robustness 2-stock","om21","Southern","tun44","PR-20",0.9044,0.0164,0.042,0.072,0.0878,1054.790649,8.936148,"No -- operational specification remains"
"Robustness 2-stock","om21","Southern","tun46","PRsym",0.8968,0.0226,0.066,0.086,0.0902,1054.114193,8.511441,"No -- operational specification remains"
"Robustness 2-stock","om21","Southern","tun48","PR-30",0.8996,0.0198,0.04,0.086,0.0912,1062.692735,9.690468,"No -- operational specification remains"
"Robustness 2-stock","om21_1","North","tun29","HS+20",0,0.9982,1,1,1,230.644007,11.186987,"No -- operational specification remains"
"Robustness 2-stock","om21_1","North","tun43","HS-20",0,0.9986,1,1,1,229.211909,11.210114,"No -- operational specification remains"
"Robustness 2-stock","om21_1","North","tun45","HSsym",0,0.9982,1,1,1,230.183692,11.179598,"No -- operational specification remains"
"Robustness 2-stock","om21_1","North","tun47","HS-30",0,0.9984,1,1,1,229.844843,11.216652,"No -- operational specification remains"
"Robustness 2-stock","om21_1","North","tun32","PR+20",0,0.9976,0.998,0.998,1,221.466128,14.0387,"No -- operational specification remains"
"Robustness 2-stock","om21_1","North","tun44","PR-20",0,0.997,0.998,0.998,1,221.072791,13.971894,"No -- operational specification remains"
"Robustness 2-stock","om21_1","North","tun46","PRsym",0,0.9964,0.998,0.998,1,220.074685,13.524302,"No -- operational specification remains"
"Robustness 2-stock","om21_1","North","tun48","PR-30",0,0.998,0.998,0.998,1,226.419404,14.886858,"No -- operational specification remains"
"Robustness 2-stock","om21_1","Southern","tun29","HS+20",0.4592,0.4614,0.546,0.624,0.3438,989.857074,4.9669,"No -- operational specification remains"
"Robustness 2-stock","om21_1","Southern","tun43","HS-20",0.2534,0.6904,0.752,0.824,0.4936,983.710535,5.006812,"No -- operational specification remains"
"Robustness 2-stock","om21_1","Southern","tun45","HSsym",0.391,0.538,0.622,0.7,0.3892,987.881045,4.962516,"No -- operational specification remains"
"Robustness 2-stock","om21_1","Southern","tun47","HS-30",0.3186,0.6164,0.688,0.766,0.4416,986.427271,5.008675,"No -- operational specification remains"
"Robustness 2-stock","om21_1","Southern","tun32","PR+20",0.897,0.0364,0.07,0.142,0.0872,950.568939,10.234592,"No -- operational specification remains"
"Robustness 2-stock","om21_1","Southern","tun44","PR-20",0.8932,0.0388,0.076,0.17,0.0912,948.836075,10.08166,"No -- operational specification remains"
"Robustness 2-stock","om21_1","Southern","tun46","PRsym",0.8842,0.044,0.09,0.176,0.0958,944.31761,9.629822,"No -- operational specification remains"
"Robustness 2-stock","om21_1","Southern","tun48","PR-30",0.8846,0.0432,0.074,0.172,0.0988,972.006344,10.945185,"No -- operational specification remains"
"Robustness 2-stock","om22","North","tun29","HS+20",0.1664,0.8278,0.836,0.836,0.8296,214.939411,11.360281,"No -- operational specification remains"
"Robustness 2-stock","om22","North","tun43","HS-20",0.1628,0.8326,0.842,0.842,0.8326,215.835266,11.290708,"No -- operational specification remains"
"Robustness 2-stock","om22","North","tun45","HSsym",0.1652,0.8294,0.84,0.842,0.831,215.04818,11.348965,"No -- operational specification remains"
"Robustness 2-stock","om22","North","tun47","HS-30",0.1636,0.8308,0.84,0.842,0.8322,215.644444,11.351703,"No -- operational specification remains"
"Robustness 2-stock","om22","North","tun32","PR+20",0.1714,0.824,0.828,0.836,0.8234,201.419786,14.653899,"No -- operational specification remains"
"Robustness 2-stock","om22","North","tun44","PR-20",0.1686,0.8266,0.83,0.838,0.825,200.634201,14.708859,"No -- operational specification remains"
"Robustness 2-stock","om22","North","tun46","PRsym",0.1698,0.8266,0.83,0.838,0.8238,199.067171,14.088909,"No -- operational specification remains"
"Robustness 2-stock","om22","North","tun48","PR-30",0.1688,0.8246,0.83,0.838,0.8258,208.026715,15.578916,"No -- operational specification remains"
