"weight_scheme","mp","metric","raw_value","preferred_direction","normalized_score","include","scheme_weight","weighted_contribution","years","summary"
"Balanced: 50% fishing performance / 50% stock condition","HS+20 (MP29)","SB / SB[MSY]",1.51678317188188,"higher is better",100,TRUE,0.1,10,"2041-2050","Median across iteration-specific 2041-2050 means"
"Balanced: 50% fishing performance / 50% stock condition","HS+20 (MP29)","F / F[MSY]",0.852995166476652,"lower is better",100,TRUE,0.1,10,"2041-2050","Median across iteration-specific 2041-2050 means"
"Balanced: 50% fishing performance / 50% stock condition","HS+20 (MP29)","Catch",1894.66571853511,"higher is better",19.6949,TRUE,0.166666666666667,3.2825,"2041-2050","Median across iteration-specific 2041-2050 means"
"Balanced: 50% fishing performance / 50% stock condition","HS+20 (MP29)","IACC",3.48211570840829,"lower is better",97.0538,TRUE,0.166666666666667,16.1756,"2041-2050","Median across iteration-specific 2041-2050 means"
"Balanced: 50% fishing performance / 50% stock condition","HS+20 (MP29)","VB / VB[2025]",4.78859506768834,"higher is better",49.2625,TRUE,0.1,4.9263,"2041-2050","Median across iteration-specific 2041-2050 means"
"Balanced: 50% fishing performance / 50% stock condition","HS+20 (MP29)","VB / VB[MSY]",0.802133759196333,"higher is better",76.4568,TRUE,0.1,7.6457,"2041-2050","Median across iteration-specific 2041-2050 means"
"Balanced: 50% fishing performance / 50% stock condition","HS+20 (MP29)","P(Kobe red)",0.2818,"lower is better",29.1262,TRUE,0.1,2.9126,"2041-2050","Proportion across all 2041-2050 iteration-years"
"Balanced: 50% fishing performance / 50% stock condition","HS+20 (MP29)","Mean catch reduction",2.25699315259484,"lower is better",94.3241,TRUE,0.166666666666667,15.7207,"2041-2050","Median across iteration-specific 2026-2050 mean reductions"
"Balanced: 50% fishing performance / 50% stock condition","HSsym (MP45)","SB / SB[MSY]",1.49020376631955,"higher is better",59.8374,TRUE,0.1,5.9837,"2041-2050","Median across iteration-specific 2041-2050 means"
"Balanced: 50% fishing performance / 50% stock condition","HSsym (MP45)","F / F[MSY]",0.864687974210474,"lower is better",76.1749,TRUE,0.1,7.6175,"2041-2050","Median across iteration-specific 2041-2050 means"
"Balanced: 50% fishing performance / 50% stock condition","HSsym (MP45)","Catch",1902.54937963254,"higher is better",28.862,TRUE,0.166666666666667,4.8103,"2041-2050","Median across iteration-specific 2041-2050 means"
"Balanced: 50% fishing performance / 50% stock condition","HSsym (MP45)","IACC",3.26995301199252,"lower is better",100,TRUE,0.166666666666667,16.6667,"2041-2050","Median across iteration-specific 2041-2050 means"
"Balanced: 50% fishing performance / 50% stock condition","HSsym (MP45)","VB / VB[2025]",4.8137255090581,"higher is better",56.9735,TRUE,0.1,5.6973,"2041-2050","Median across iteration-specific 2041-2050 means"
"Balanced: 50% fishing performance / 50% stock condition","HSsym (MP45)","VB / VB[MSY]",0.793304632742685,"higher is better",60.5644,TRUE,0.1,6.0564,"2041-2050","Median across iteration-specific 2041-2050 means"
"Balanced: 50% fishing performance / 50% stock condition","HSsym (MP45)","P(Kobe red)",0.2874,"lower is better",20.0647,TRUE,0.1,2.0065,"2041-2050","Proportion across all 2041-2050 iteration-years"
"Balanced: 50% fishing performance / 50% stock condition","HSsym (MP45)","Mean catch reduction",2.09767507138905,"lower is better",100,TRUE,0.166666666666667,16.6667,"2041-2050","Median across iteration-specific 2026-2050 mean reductions"
"Balanced: 50% fishing performance / 50% stock condition","PR-20 (MP44)","SB / SB[MSY]",1.47147369503474,"higher is better",31.5355,TRUE,0.1,3.1536,"2041-2050","Median across iteration-specific 2041-2050 means"
"Balanced: 50% fishing performance / 50% stock condition","PR-20 (MP44)","F / F[MSY]",0.902072836237866,"lower is better",0,TRUE,0.1,0,"2041-2050","Median across iteration-specific 2041-2050 means"
"Balanced: 50% fishing performance / 50% stock condition","PR-20 (MP44)","Catch",1963.72768570653,"higher is better",100,TRUE,0.166666666666667,16.6667,"2041-2050","Median across iteration-specific 2041-2050 means"
"Balanced: 50% fishing performance / 50% stock condition","PR-20 (MP44)","IACC",10.1863220301742,"lower is better",3.9568,TRUE,0.166666666666667,0.6595,"2041-2050","Median across iteration-specific 2041-2050 means"
"Balanced: 50% fishing performance / 50% stock condition","PR-20 (MP44)","VB / VB[2025]",4.88840245746072,"higher is better",79.8871,TRUE,0.1,7.9887,"2041-2050","Median across iteration-specific 2041-2050 means"
"Balanced: 50% fishing performance / 50% stock condition","PR-20 (MP44)","VB / VB[MSY]",0.815213380535892,"higher is better",100,TRUE,0.1,10,"2041-2050","Median across iteration-specific 2041-2050 means"
"Balanced: 50% fishing performance / 50% stock condition","PR-20 (MP44)","P(Kobe red)",0.2592,"lower is better",65.6958,TRUE,0.1,6.5696,"2041-2050","Proportion across all 2041-2050 iteration-years"
"Balanced: 50% fishing performance / 50% stock condition","PR-20 (MP44)","Mean catch reduction",4.68069679547602,"lower is better",7.9774,TRUE,0.166666666666667,1.3296,"2041-2050","Median across iteration-specific 2026-2050 mean reductions"
"Balanced: 50% fishing performance / 50% stock condition","HS-30 (MP47)","SB / SB[MSY]",1.49237307485411,"higher is better",63.1154,TRUE,0.1,6.3115,"2041-2050","Median across iteration-specific 2041-2050 means"
"Balanced: 50% fishing performance / 50% stock condition","HS-30 (MP47)","F / F[MSY]",0.885917457677776,"lower is better",32.918,TRUE,0.1,3.2918,"2041-2050","Median across iteration-specific 2041-2050 means"
"Balanced: 50% fishing performance / 50% stock condition","HS-30 (MP47)","Catch",1904.41501969218,"higher is better",31.0313,TRUE,0.166666666666667,5.1719,"2041-2050","Median across iteration-specific 2041-2050 means"
"Balanced: 50% fishing performance / 50% stock condition","HS-30 (MP47)","IACC",3.93423935716901,"lower is better",90.7755,TRUE,0.166666666666667,15.1292,"2041-2050","Median across iteration-specific 2041-2050 means"
"Balanced: 50% fishing performance / 50% stock condition","HS-30 (MP47)","VB / VB[2025]",4.68641110295119,"higher is better",17.9088,TRUE,0.1,1.7909,"2041-2050","Median across iteration-specific 2041-2050 means"
"Balanced: 50% fishing performance / 50% stock condition","HS-30 (MP47)","VB / VB[MSY]",0.776272354491232,"higher is better",29.9064,TRUE,0.1,2.9906,"2041-2050","Median across iteration-specific 2041-2050 means"
"Balanced: 50% fishing performance / 50% stock condition","HS-30 (MP47)","P(Kobe red)",0.285,"lower is better",23.9482,TRUE,0.1,2.3948,"2041-2050","Proportion across all 2041-2050 iteration-years"
"Balanced: 50% fishing performance / 50% stock condition","HS-30 (MP47)","Mean catch reduction",2.33450309713878,"lower is better",91.5628,TRUE,0.166666666666667,15.2605,"2041-2050","Median across iteration-specific 2026-2050 mean reductions"
"Balanced: 50% fishing performance / 50% stock condition","PRsym (MP46)","SB / SB[MSY]",1.4629970092257,"higher is better",18.7269,TRUE,0.1,1.8727,"2041-2050","Median across iteration-specific 2041-2050 means"
"Balanced: 50% fishing performance / 50% stock condition","PRsym (MP46)","F / F[MSY]",0.895171012584641,"lower is better",14.0631,TRUE,0.1,1.4063,"2041-2050","Median across iteration-specific 2041-2050 means"
"Balanced: 50% fishing performance / 50% stock condition","PRsym (MP46)","Catch",1940.82546125544,"higher is better",73.3693,TRUE,0.166666666666667,12.2282,"2041-2050","Median across iteration-specific 2041-2050 means"
"Balanced: 50% fishing performance / 50% stock condition","PRsym (MP46)","IACC",9.66955451790976,"lower is better",11.1328,TRUE,0.166666666666667,1.8555,"2041-2050","Median across iteration-specific 2041-2050 means"
"Balanced: 50% fishing performance / 50% stock condition","PRsym (MP46)","VB / VB[2025]",4.95395182332869,"higher is better",100,TRUE,0.1,10,"2041-2050","Median across iteration-specific 2041-2050 means"
"Balanced: 50% fishing performance / 50% stock condition","PRsym (MP46)","VB / VB[MSY]",0.800348962847574,"higher is better",73.2441,TRUE,0.1,7.3244,"2041-2050","Median across iteration-specific 2041-2050 means"
"Balanced: 50% fishing performance / 50% stock condition","PRsym (MP46)","P(Kobe red)",0.275,"lower is better",40.1294,TRUE,0.1,4.0129,"2041-2050","Proportion across all 2041-2050 iteration-years"
"Balanced: 50% fishing performance / 50% stock condition","PRsym (MP46)","Mean catch reduction",4.46960823403602,"lower is better",15.4977,TRUE,0.166666666666667,2.5829,"2041-2050","Median across iteration-specific 2026-2050 mean reductions"
"Balanced: 50% fishing performance / 50% stock condition","HS-20 (MP43)","SB / SB[MSY]",1.47262518182246,"higher is better",33.2755,TRUE,0.1,3.3275,"2041-2050","Median across iteration-specific 2041-2050 means"
"Balanced: 50% fishing performance / 50% stock condition","HS-20 (MP43)","F / F[MSY]",0.899896924605787,"lower is better",4.4336,TRUE,0.1,0.4434,"2041-2050","Median across iteration-specific 2041-2050 means"
"Balanced: 50% fishing performance / 50% stock condition","HS-20 (MP43)","Catch",1904.77982369591,"higher is better",31.4555,TRUE,0.166666666666667,5.2426,"2041-2050","Median across iteration-specific 2041-2050 means"
"Balanced: 50% fishing performance / 50% stock condition","HS-20 (MP43)","IACC",3.49955563884474,"lower is better",96.8117,TRUE,0.166666666666667,16.1353,"2041-2050","Median across iteration-specific 2041-2050 means"
"Balanced: 50% fishing performance / 50% stock condition","HS-20 (MP43)","VB / VB[2025]",4.6280451318954,"higher is better",0,TRUE,0.1,0,"2041-2050","Median across iteration-specific 2041-2050 means"
"Balanced: 50% fishing performance / 50% stock condition","HS-20 (MP43)","VB / VB[MSY]",0.75965763874634,"higher is better",0,TRUE,0.1,0,"2041-2050","Median across iteration-specific 2041-2050 means"
"Balanced: 50% fishing performance / 50% stock condition","HS-20 (MP43)","P(Kobe red)",0.2998,"lower is better",0,TRUE,0.1,0,"2041-2050","Proportion across all 2041-2050 iteration-years"
"Balanced: 50% fishing performance / 50% stock condition","HS-20 (MP43)","Mean catch reduction",2.21435130338251,"lower is better",95.8433,TRUE,0.166666666666667,15.9739,"2041-2050","Median across iteration-specific 2026-2050 mean reductions"
"Balanced: 50% fishing performance / 50% stock condition","PR-30 (MP48)","SB / SB[MSY]",1.45060361138065,"higher is better",0,TRUE,0.1,0,"2041-2050","Median across iteration-specific 2041-2050 means"
"Balanced: 50% fishing performance / 50% stock condition","PR-30 (MP48)","F / F[MSY]",0.886511060324188,"lower is better",31.7085,TRUE,0.1,3.1708,"2041-2050","Median across iteration-specific 2041-2050 means"
"Balanced: 50% fishing performance / 50% stock condition","PR-30 (MP48)","Catch",1877.72825605893,"higher is better",0,TRUE,0.166666666666667,0,"2041-2050","Median across iteration-specific 2041-2050 means"
"Balanced: 50% fishing performance / 50% stock condition","PR-30 (MP48)","IACC",10.4712614188724,"lower is better",0,TRUE,0.166666666666667,0,"2041-2050","Median across iteration-specific 2041-2050 means"
"Balanced: 50% fishing performance / 50% stock condition","PR-30 (MP48)","VB / VB[2025]",4.69162238748271,"higher is better",19.5078,TRUE,0.1,1.9508,"2041-2050","Median across iteration-specific 2041-2050 means"
"Balanced: 50% fishing performance / 50% stock condition","PR-30 (MP48)","VB / VB[MSY]",0.787373105831448,"higher is better",49.8877,TRUE,0.1,4.9888,"2041-2050","Median across iteration-specific 2041-2050 means"
"Balanced: 50% fishing performance / 50% stock condition","PR-30 (MP48)","P(Kobe red)",0.238,"lower is better",100,TRUE,0.1,10,"2041-2050","Proportion across all 2041-2050 iteration-years"
"Balanced: 50% fishing performance / 50% stock condition","PR-30 (MP48)","Mean catch reduction",4.90461896654535,"lower is better",0,TRUE,0.166666666666667,0,"2041-2050","Median across iteration-specific 2026-2050 mean reductions"
"Balanced: 50% fishing performance / 50% stock condition","PR+20 (MP32)","SB / SB[MSY]",1.45313761182676,"higher is better",3.829,TRUE,0.1,0.3829,"2041-2050","Median across iteration-specific 2041-2050 means"
"Balanced: 50% fishing performance / 50% stock condition","PR+20 (MP32)","F / F[MSY]",0.899905410986797,"lower is better",4.4163,TRUE,0.1,0.4416,"2041-2050","Median across iteration-specific 2041-2050 means"
"Balanced: 50% fishing performance / 50% stock condition","PR+20 (MP32)","Catch",1898.80508827676,"higher is better",24.5081,TRUE,0.166666666666667,4.0847,"2041-2050","Median across iteration-specific 2041-2050 means"
"Balanced: 50% fishing performance / 50% stock condition","PR+20 (MP32)","IACC",9.68833918307611,"lower is better",10.8719,TRUE,0.166666666666667,1.812,"2041-2050","Median across iteration-specific 2041-2050 means"
"Balanced: 50% fishing performance / 50% stock condition","PR+20 (MP32)","VB / VB[2025]",4.76976770780754,"higher is better",43.4856,TRUE,0.1,4.3486,"2041-2050","Median across iteration-specific 2041-2050 means"
"Balanced: 50% fishing performance / 50% stock condition","PR+20 (MP32)","VB / VB[MSY]",0.785442851395198,"higher is better",46.4132,TRUE,0.1,4.6413,"2041-2050","Median across iteration-specific 2041-2050 means"
"Balanced: 50% fishing performance / 50% stock condition","PR+20 (MP32)","P(Kobe red)",0.272,"lower is better",44.9838,TRUE,0.1,4.4984,"2041-2050","Proportion across all 2041-2050 iteration-years"
"Balanced: 50% fishing performance / 50% stock condition","PR+20 (MP32)","Mean catch reduction",4.69480480408109,"lower is better",7.4748,TRUE,0.166666666666667,1.2458,"2041-2050","Median across iteration-specific 2026-2050 mean reductions"
"Dispersion sensitivity: square-root-CV weights","HS+20 (MP29)","SB / SB[MSY]",1.51678317188188,"higher is better",100,TRUE,0.0539596524128846,5.396,"2041-2050","Median across iteration-specific 2041-2050 means"
"Dispersion sensitivity: square-root-CV weights","HS+20 (MP29)","F / F[MSY]",0.852995166476652,"lower is better",100,TRUE,0.062523377789013,6.2523,"2041-2050","Median across iteration-specific 2041-2050 means"
"Dispersion sensitivity: square-root-CV weights","HS+20 (MP29)","Catch",1894.66571853511,"higher is better",19.6949,TRUE,0.0527205574061507,1.0383,"2041-2050","Median across iteration-specific 2041-2050 means"
"Dispersion sensitivity: square-root-CV weights","HS+20 (MP29)","IACC",3.48211570840829,"lower is better",97.0538,TRUE,0.313567069751613,30.4329,"2041-2050","Median across iteration-specific 2041-2050 means"
"Dispersion sensitivity: square-root-CV weights","HS+20 (MP29)","VB / VB[2025]",4.78859506768834,"higher is better",49.2625,TRUE,0.0661739829014775,3.2599,"2041-2050","Median across iteration-specific 2041-2050 means"
"Dispersion sensitivity: square-root-CV weights","HS+20 (MP29)","VB / VB[MSY]",0.802133759196333,"higher is better",76.4568,TRUE,0.0644292747620989,4.9261,"2041-2050","Median across iteration-specific 2041-2050 means"
"Dispersion sensitivity: square-root-CV weights","HS+20 (MP29)","P(Kobe red)",0.2818,"lower is better",29.1262,TRUE,0.115456493480807,3.3628,"2041-2050","Proportion across all 2041-2050 iteration-years"
"Dispersion sensitivity: square-root-CV weights","HS+20 (MP29)","Mean catch reduction",2.25699315259484,"lower is better",94.3241,TRUE,0.271169591495955,25.5778,"2041-2050","Median across iteration-specific 2026-2050 mean reductions"
"Dispersion sensitivity: square-root-CV weights","HSsym (MP45)","SB / SB[MSY]",1.49020376631955,"higher is better",59.8374,TRUE,0.0539596524128846,3.2288,"2041-2050","Median across iteration-specific 2041-2050 means"
"Dispersion sensitivity: square-root-CV weights","HSsym (MP45)","F / F[MSY]",0.864687974210474,"lower is better",76.1749,TRUE,0.062523377789013,4.7627,"2041-2050","Median across iteration-specific 2041-2050 means"
"Dispersion sensitivity: square-root-CV weights","HSsym (MP45)","Catch",1902.54937963254,"higher is better",28.862,TRUE,0.0527205574061507,1.5216,"2041-2050","Median across iteration-specific 2041-2050 means"
"Dispersion sensitivity: square-root-CV weights","HSsym (MP45)","IACC",3.26995301199252,"lower is better",100,TRUE,0.313567069751613,31.3567,"2041-2050","Median across iteration-specific 2041-2050 means"
"Dispersion sensitivity: square-root-CV weights","HSsym (MP45)","VB / VB[2025]",4.8137255090581,"higher is better",56.9735,TRUE,0.0661739829014775,3.7702,"2041-2050","Median across iteration-specific 2041-2050 means"
"Dispersion sensitivity: square-root-CV weights","HSsym (MP45)","VB / VB[MSY]",0.793304632742685,"higher is better",60.5644,TRUE,0.0644292747620989,3.9021,"2041-2050","Median across iteration-specific 2041-2050 means"
"Dispersion sensitivity: square-root-CV weights","HSsym (MP45)","P(Kobe red)",0.2874,"lower is better",20.0647,TRUE,0.115456493480807,2.3166,"2041-2050","Proportion across all 2041-2050 iteration-years"
"Dispersion sensitivity: square-root-CV weights","HSsym (MP45)","Mean catch reduction",2.09767507138905,"lower is better",100,TRUE,0.271169591495955,27.117,"2041-2050","Median across iteration-specific 2026-2050 mean reductions"
"Dispersion sensitivity: square-root-CV weights","PR-20 (MP44)","SB / SB[MSY]",1.47147369503474,"higher is better",31.5355,TRUE,0.0539596524128846,1.7016,"2041-2050","Median across iteration-specific 2041-2050 means"
"Dispersion sensitivity: square-root-CV weights","PR-20 (MP44)","F / F[MSY]",0.902072836237866,"lower is better",0,TRUE,0.062523377789013,0,"2041-2050","Median across iteration-specific 2041-2050 means"
"Dispersion sensitivity: square-root-CV weights","PR-20 (MP44)","Catch",1963.72768570653,"higher is better",100,TRUE,0.0527205574061507,5.2721,"2041-2050","Median across iteration-specific 2041-2050 means"
"Dispersion sensitivity: square-root-CV weights","PR-20 (MP44)","IACC",10.1863220301742,"lower is better",3.9568,TRUE,0.313567069751613,1.2407,"2041-2050","Median across iteration-specific 2041-2050 means"
"Dispersion sensitivity: square-root-CV weights","PR-20 (MP44)","VB / VB[2025]",4.88840245746072,"higher is better",79.8871,TRUE,0.0661739829014775,5.2864,"2041-2050","Median across iteration-specific 2041-2050 means"
"Dispersion sensitivity: square-root-CV weights","PR-20 (MP44)","VB / VB[MSY]",0.815213380535892,"higher is better",100,TRUE,0.0644292747620989,6.4429,"2041-2050","Median across iteration-specific 2041-2050 means"
"Dispersion sensitivity: square-root-CV weights","PR-20 (MP44)","P(Kobe red)",0.2592,"lower is better",65.6958,TRUE,0.115456493480807,7.585,"2041-2050","Proportion across all 2041-2050 iteration-years"
"Dispersion sensitivity: square-root-CV weights","PR-20 (MP44)","Mean catch reduction",4.68069679547602,"lower is better",7.9774,TRUE,0.271169591495955,2.1632,"2041-2050","Median across iteration-specific 2026-2050 mean reductions"
"Dispersion sensitivity: square-root-CV weights","HS-30 (MP47)","SB / SB[MSY]",1.49237307485411,"higher is better",63.1154,TRUE,0.0539596524128846,3.4057,"2041-2050","Median across iteration-specific 2041-2050 means"
"Dispersion sensitivity: square-root-CV weights","HS-30 (MP47)","F / F[MSY]",0.885917457677776,"lower is better",32.918,TRUE,0.062523377789013,2.0581,"2041-2050","Median across iteration-specific 2041-2050 means"
"Dispersion sensitivity: square-root-CV weights","HS-30 (MP47)","Catch",1904.41501969218,"higher is better",31.0313,TRUE,0.0527205574061507,1.636,"2041-2050","Median across iteration-specific 2041-2050 means"
"Dispersion sensitivity: square-root-CV weights","HS-30 (MP47)","IACC",3.93423935716901,"lower is better",90.7755,TRUE,0.313567069751613,28.4642,"2041-2050","Median across iteration-specific 2041-2050 means"
"Dispersion sensitivity: square-root-CV weights","HS-30 (MP47)","VB / VB[2025]",4.68641110295119,"higher is better",17.9088,TRUE,0.0661739829014775,1.1851,"2041-2050","Median across iteration-specific 2041-2050 means"
"Dispersion sensitivity: square-root-CV weights","HS-30 (MP47)","VB / VB[MSY]",0.776272354491232,"higher is better",29.9064,TRUE,0.0644292747620989,1.9268,"2041-2050","Median across iteration-specific 2041-2050 means"
"Dispersion sensitivity: square-root-CV weights","HS-30 (MP47)","P(Kobe red)",0.285,"lower is better",23.9482,TRUE,0.115456493480807,2.765,"2041-2050","Proportion across all 2041-2050 iteration-years"
"Dispersion sensitivity: square-root-CV weights","HS-30 (MP47)","Mean catch reduction",2.33450309713878,"lower is better",91.5628,TRUE,0.271169591495955,24.829,"2041-2050","Median across iteration-specific 2026-2050 mean reductions"
"Dispersion sensitivity: square-root-CV weights","PRsym (MP46)","SB / SB[MSY]",1.4629970092257,"higher is better",18.7269,TRUE,0.0539596524128846,1.0105,"2041-2050","Median across iteration-specific 2041-2050 means"
"Dispersion sensitivity: square-root-CV weights","PRsym (MP46)","F / F[MSY]",0.895171012584641,"lower is better",14.0631,TRUE,0.062523377789013,0.8793,"2041-2050","Median across iteration-specific 2041-2050 means"
"Dispersion sensitivity: square-root-CV weights","PRsym (MP46)","Catch",1940.82546125544,"higher is better",73.3693,TRUE,0.0527205574061507,3.8681,"2041-2050","Median across iteration-specific 2041-2050 means"
"Dispersion sensitivity: square-root-CV weights","PRsym (MP46)","IACC",9.66955451790976,"lower is better",11.1328,TRUE,0.313567069751613,3.4909,"2041-2050","Median across iteration-specific 2041-2050 means"
"Dispersion sensitivity: square-root-CV weights","PRsym (MP46)","VB / VB[2025]",4.95395182332869,"higher is better",100,TRUE,0.0661739829014775,6.6174,"2041-2050","Median across iteration-specific 2041-2050 means"
"Dispersion sensitivity: square-root-CV weights","PRsym (MP46)","VB / VB[MSY]",0.800348962847574,"higher is better",73.2441,TRUE,0.0644292747620989,4.7191,"2041-2050","Median across iteration-specific 2041-2050 means"
"Dispersion sensitivity: square-root-CV weights","PRsym (MP46)","P(Kobe red)",0.275,"lower is better",40.1294,TRUE,0.115456493480807,4.6332,"2041-2050","Proportion across all 2041-2050 iteration-years"
"Dispersion sensitivity: square-root-CV weights","PRsym (MP46)","Mean catch reduction",4.46960823403602,"lower is better",15.4977,TRUE,0.271169591495955,4.2025,"2041-2050","Median across iteration-specific 2026-2050 mean reductions"
"Dispersion sensitivity: square-root-CV weights","HS-20 (MP43)","SB / SB[MSY]",1.47262518182246,"higher is better",33.2755,TRUE,0.0539596524128846,1.7955,"2041-2050","Median across iteration-specific 2041-2050 means"
"Dispersion sensitivity: square-root-CV weights","HS-20 (MP43)","F / F[MSY]",0.899896924605787,"lower is better",4.4336,TRUE,0.062523377789013,0.2772,"2041-2050","Median across iteration-specific 2041-2050 means"
"Dispersion sensitivity: square-root-CV weights","HS-20 (MP43)","Catch",1904.77982369591,"higher is better",31.4555,TRUE,0.0527205574061507,1.6584,"2041-2050","Median across iteration-specific 2041-2050 means"
"Dispersion sensitivity: square-root-CV weights","HS-20 (MP43)","IACC",3.49955563884474,"lower is better",96.8117,TRUE,0.313567069751613,30.3569,"2041-2050","Median across iteration-specific 2041-2050 means"
"Dispersion sensitivity: square-root-CV weights","HS-20 (MP43)","VB / VB[2025]",4.6280451318954,"higher is better",0,TRUE,0.0661739829014775,0,"2041-2050","Median across iteration-specific 2041-2050 means"
"Dispersion sensitivity: square-root-CV weights","HS-20 (MP43)","VB / VB[MSY]",0.75965763874634,"higher is better",0,TRUE,0.0644292747620989,0,"2041-2050","Median across iteration-specific 2041-2050 means"
"Dispersion sensitivity: square-root-CV weights","HS-20 (MP43)","P(Kobe red)",0.2998,"lower is better",0,TRUE,0.115456493480807,0,"2041-2050","Proportion across all 2041-2050 iteration-years"
"Dispersion sensitivity: square-root-CV weights","HS-20 (MP43)","Mean catch reduction",2.21435130338251,"lower is better",95.8433,TRUE,0.271169591495955,25.9898,"2041-2050","Median across iteration-specific 2026-2050 mean reductions"
"Dispersion sensitivity: square-root-CV weights","PR-30 (MP48)","SB / SB[MSY]",1.45060361138065,"higher is better",0,TRUE,0.0539596524128846,0,"2041-2050","Median across iteration-specific 2041-2050 means"
"Dispersion sensitivity: square-root-CV weights","PR-30 (MP48)","F / F[MSY]",0.886511060324188,"lower is better",31.7085,TRUE,0.062523377789013,1.9825,"2041-2050","Median across iteration-specific 2041-2050 means"
"Dispersion sensitivity: square-root-CV weights","PR-30 (MP48)","Catch",1877.72825605893,"higher is better",0,TRUE,0.0527205574061507,0,"2041-2050","Median across iteration-specific 2041-2050 means"
"Dispersion sensitivity: square-root-CV weights","PR-30 (MP48)","IACC",10.4712614188724,"lower is better",0,TRUE,0.313567069751613,0,"2041-2050","Median across iteration-specific 2041-2050 means"
"Dispersion sensitivity: square-root-CV weights","PR-30 (MP48)","VB / VB[2025]",4.69162238748271,"higher is better",19.5078,TRUE,0.0661739829014775,1.2909,"2041-2050","Median across iteration-specific 2041-2050 means"
"Dispersion sensitivity: square-root-CV weights","PR-30 (MP48)","VB / VB[MSY]",0.787373105831448,"higher is better",49.8877,TRUE,0.0644292747620989,3.2142,"2041-2050","Median across iteration-specific 2041-2050 means"
"Dispersion sensitivity: square-root-CV weights","PR-30 (MP48)","P(Kobe red)",0.238,"lower is better",100,TRUE,0.115456493480807,11.5456,"2041-2050","Proportion across all 2041-2050 iteration-years"
"Dispersion sensitivity: square-root-CV weights","PR-30 (MP48)","Mean catch reduction",4.90461896654535,"lower is better",0,TRUE,0.271169591495955,0,"2041-2050","Median across iteration-specific 2026-2050 mean reductions"
"Dispersion sensitivity: square-root-CV weights","PR+20 (MP32)","SB / SB[MSY]",1.45313761182676,"higher is better",3.829,TRUE,0.0539596524128846,0.2066,"2041-2050","Median across iteration-specific 2041-2050 means"
"Dispersion sensitivity: square-root-CV weights","PR+20 (MP32)","F / F[MSY]",0.899905410986797,"lower is better",4.4163,TRUE,0.062523377789013,0.2761,"2041-2050","Median across iteration-specific 2041-2050 means"
"Dispersion sensitivity: square-root-CV weights","PR+20 (MP32)","Catch",1898.80508827676,"higher is better",24.5081,TRUE,0.0527205574061507,1.2921,"2041-2050","Median across iteration-specific 2041-2050 means"
"Dispersion sensitivity: square-root-CV weights","PR+20 (MP32)","IACC",9.68833918307611,"lower is better",10.8719,TRUE,0.313567069751613,3.4091,"2041-2050","Median across iteration-specific 2041-2050 means"
"Dispersion sensitivity: square-root-CV weights","PR+20 (MP32)","VB / VB[2025]",4.76976770780754,"higher is better",43.4856,TRUE,0.0661739829014775,2.8776,"2041-2050","Median across iteration-specific 2041-2050 means"
