mp,period,f_fmsy,sb_sbmsy,n,cmp
tun29,Long term (2041-2050),0.852995166476652,1.28570187154281,500,HS+20
tun29,Near term (2026-2035),0.982362149627211,1.37129681500494,500,HS+20
tun32,Long term (2041-2050),0.899905410986797,1.24712668166137,500,PR+20
tun32,Near term (2026-2035),0.720534972694975,1.5049213378583,500,PR+20
tun43,Long term (2041-2050),0.899896924605787,1.26295617838056,500,HS-20
tun43,Near term (2026-2035),1.07677192259484,1.33513275273373,500,HS-20
tun44,Long term (2041-2050),0.902072836237866,1.25931293075506,500,PR-20
tun44,Near term (2026-2035),0.598657209407674,1.566718707235,500,PR-20
tun45,Long term (2041-2050),0.864687974210474,1.27969455957175,500,HSsym
tun45,Near term (2026-2035),0.988085480554127,1.36539140717242,500,HSsym
tun46,Long term (2041-2050),0.895171012584641,1.26191190895209,500,PRsym
tun46,Near term (2026-2035),0.678103124019303,1.52309508525709,500,PRsym
tun47,Long term (2041-2050),0.885917457677776,1.26676328628059,500,HS-30
tun47,Near term (2026-2035),1.0628804454139,1.34558713263552,500,HS-30
tun48,Long term (2041-2050),0.886511060324188,1.24399755381698,500,PR-30
tun48,Near term (2026-2035),0.589354221230405,1.57198207168589,500,PR-30
