mp,label,short_label,hcr,selected_trigger,selected_probability,trigger,position,step_size,tuning_probability,source,difference_from_objective,difference_from_selected
tun29,MP29,HS+20,hockeystick,2.125,0.6098,2.0625,lower,0.0625,0.596199999999999,new local profile run,-0.00380000000000058,-0.0136000000000006
tun29,MP29,HS+20,hockeystick,2.125,0.6098,2.125,selected,0.0625,0.6098,selected control,0.00980000000000003,0
tun29,MP29,HS+20,hockeystick,2.125,0.6098,2.1875,upper,0.0625,0.622,new local profile run,0.0220000000000001,0.0122000000000001
tun32,MP32,PR+20,powerramp,1.640625,0.602599999999999,1.609375,lower,0.03125,0.586400000000001,existing refinement trace,-0.0135999999999989,-0.016199999999998
tun32,MP32,PR+20,powerramp,1.640625,0.602599999999999,1.640625,selected,0.03125,0.602599999999999,selected control,0.00259999999999905,0
tun32,MP32,PR+20,powerramp,1.640625,0.602599999999999,1.671875,upper,0.03125,0.617,existing refinement trace,0.017,0.014400000000001
tun43,MP43,HS-20,hockeystick,1.9375,0.591800000000001,1.875,lower,0.0625,0.574400000000001,new local profile run,-0.0255999999999993,-0.0174000000000003
tun43,MP43,HS-20,hockeystick,1.9375,0.591800000000001,1.9375,selected,0.0625,0.591800000000001,selected control,-0.00819999999999899,0
tun43,MP43,HS-20,hockeystick,1.9375,0.591800000000001,2,upper,0.0625,0.604800000000001,new local profile run,0.00480000000000058,0.0129999999999996
tun44,MP44,PR-20,powerramp,1.6015625,0.5984,1.5703125,lower,0.03125,0.583800000000001,new local profile run,-0.0161999999999986,-0.0145999999999986
tun44,MP44,PR-20,powerramp,1.6015625,0.5984,1.6015625,selected,0.03125,0.5984,selected control,-0.00159999999999993,0
tun44,MP44,PR-20,powerramp,1.6015625,0.5984,1.6328125,upper,0.03125,0.616800000000001,new local profile run,0.0168000000000006,0.0184000000000005
tun45,MP45,HSsym,hockeystick,2.0625,0.604200000000001,2,lower,0.0625,0.590199999999999,new local profile run,-0.00980000000000059,-0.0140000000000016
tun45,MP45,HSsym,hockeystick,2.0625,0.604200000000001,2.0625,selected,0.0625,0.604200000000001,selected control,0.00420000000000098,0
tun45,MP45,HSsym,hockeystick,2.0625,0.604200000000001,2.125,upper,0.0625,0.618199999999999,new local profile run,0.0181999999999992,0.0139999999999982
tun46,MP46,PRsym,powerramp,1.625,0.5954,1.59375,lower,0.03125,0.581599999999999,new local profile run,-0.0184000000000012,-0.0138000000000013
tun46,MP46,PRsym,powerramp,1.625,0.5954,1.625,selected,0.03125,0.5954,selected control,-0.00459999999999994,0
tun46,MP46,PRsym,powerramp,1.625,0.5954,1.65625,upper,0.03125,0.610800000000001,new local profile run,0.0108000000000007,0.0154000000000006
tun47,MP47,HS-30,hockeystick,2,0.6038,1.9375,lower,0.0625,0.5882,existing refinement trace,-0.0118,-0.0156000000000001
tun47,MP47,HS-30,hockeystick,2,0.6038,2,selected,0.0625,0.6038,selected control,0.00380000000000003,0
tun47,MP47,HS-30,hockeystick,2,0.6038,2.0625,upper,0.0625,0.614799999999999,existing refinement trace,0.014799999999999,0.010999999999999
tun48,MP48,PR-30,powerramp,1.578125,0.605599999999999,1.546875,lower,0.03125,0.591199999999999,new local profile run,-0.00880000000000059,-0.0143999999999996
tun48,MP48,PR-30,powerramp,1.578125,0.605599999999999,1.578125,selected,0.03125,0.605599999999999,selected control,0.00559999999999905,0
tun48,MP48,PR-30,powerramp,1.578125,0.605599999999999,1.609375,upper,0.03125,0.621199999999999,new local profile run,0.0211999999999987,0.0155999999999996
