om,biol,mp,period,metric,median,lower,upper
h1_0.16_selex,CJM,MP29,Short term (2026-2035),VB / VB[2025],5.86902590311508,3.54778837831476,10.0942263698206
h1_0.16_selex,CJM,MP29,Short term (2026-2035),VB / VB[MSY],0.573419457751764,0.349708137216003,0.823344791288393
h1_0.16_lowrec,CJM,MP29,Short term (2026-2035),VB / VB[2025],3.28750222693713,1.91043666753509,4.99451737024429
h1_0.16_lowrec,CJM,MP29,Short term (2026-2035),VB / VB[MSY],0.489446958539527,0.321637923270018,0.781053921375835
h1_0.16_cycle,CJM,MP29,Short term (2026-2035),VB / VB[2025],3.00148971613653,1.84698088493927,4.34372151493547
h1_0.16_cycle,CJM,MP29,Short term (2026-2035),VB / VB[MSY],0.463157763115953,0.268169309891668,0.732465729790985
h1_0.16h,CJM,MP29,Short term (2026-2035),VB / VB[2025],2.76184662138358,1.56183636828839,4.38846563848967
h1_0.16h,CJM,MP29,Short term (2026-2035),VB / VB[MSY],0.915754143561556,0.606250658735007,1.34617310563702
h1_1.14,CJM,MP29,Short term (2026-2035),VB / VB[2025],2.07039507805447,1.19819605179736,3.41722006663362
h1_1.14,CJM,MP29,Short term (2026-2035),VB / VB[MSY],1.06590474358387,0.74816962400239,1.58245700811024
h2_0.16,Southern,MP29,Short term (2026-2035),VB / VB[2025],3.07633607484396,1.96833323237691,4.59614513740546
h2_0.16,Southern,MP29,Short term (2026-2035),VB / VB[MSY],0.613409940373466,0.416984253585188,0.879252933671226
h2_0.16,North,MP29,Short term (2026-2035),VB / VB[2025],1.10387202791607,0.680892340165269,1.78725172745012
h2_0.16,North,MP29,Short term (2026-2035),VB / VB[MSY],0.493955913945415,0.28201113179597,0.803277142056577
h2_0.16_mov,Southern,MP29,Short term (2026-2035),VB / VB[2025],2.57918690067389,1.72224297367459,3.91799674311607
h2_0.16_mov,Southern,MP29,Short term (2026-2035),VB / VB[MSY],0.517839058026109,0.352034645806304,0.718732185534903
h2_0.16_mov,North,MP29,Short term (2026-2035),VB / VB[2025],2.16123406841606,1.19436511587357,3.20391808959982
h2_0.16_mov,North,MP29,Short term (2026-2035),VB / VB[MSY],1.15681139860887,0.885527561135795,1.56854165986842
h2_0.16h,Southern,MP29,Short term (2026-2035),VB / VB[2025],2.64586782191501,1.58145628609978,4.05903951928344
h2_0.16h,Southern,MP29,Short term (2026-2035),VB / VB[MSY],1.25941073125259,0.95414300448433,1.77081467865371
h2_0.16h,North,MP29,Short term (2026-2035),VB / VB[2025],1.17402802646053,0.217418050329238,2.45704249249489
h2_0.16h,North,MP29,Short term (2026-2035),VB / VB[MSY],0.302872402563646,0.0333343982489344,0.592776257070344
h2_1.14,Southern,MP29,Short term (2026-2035),VB / VB[2025],1.82105204042179,1.10149552223009,3.29284918538453
h2_1.14,Southern,MP29,Short term (2026-2035),VB / VB[MSY],0.987522397315438,0.730669653624397,1.41280454824764
h2_1.14,North,MP29,Short term (2026-2035),VB / VB[2025],0.544031965265604,0.329962345435501,1.12265391417816
h2_1.14,North,MP29,Short term (2026-2035),VB / VB[MSY],0.165579084719848,0.0729670327828919,0.313081919347134
h1_0.16_selex,CJM,MP43,Short term (2026-2035),VB / VB[2025],6.91945992650131,4.27217195107598,11.3382921826248
h1_0.16_selex,CJM,MP43,Short term (2026-2035),VB / VB[MSY],0.654787567484499,0.414186201582955,0.919026769161121
h1_0.16_lowrec,CJM,MP43,Short term (2026-2035),VB / VB[2025],4.12877511654297,2.45900676720444,5.91135253210979
h1_0.16_lowrec,CJM,MP43,Short term (2026-2035),VB / VB[MSY],0.58154385019059,0.381323522765037,0.906825733967735
h1_0.16_cycle,CJM,MP43,Short term (2026-2035),VB / VB[2025],3.67996360689595,2.34261980309729,5.23052341419749
h1_0.16_cycle,CJM,MP43,Short term (2026-2035),VB / VB[MSY],0.553327089487306,0.328270648719649,0.84946457644135
h1_0.16h,CJM,MP43,Short term (2026-2035),VB / VB[2025],3.38188393777644,2.010594468159,5.29181750047895
h1_0.16h,CJM,MP43,Short term (2026-2035),VB / VB[MSY],1.1031528230746,0.725062091536207,1.59249944823864
h1_1.14,CJM,MP43,Short term (2026-2035),VB / VB[2025],2.26044583786007,1.33277949564969,3.75982191107059
h1_1.14,CJM,MP43,Short term (2026-2035),VB / VB[MSY],1.16951951170272,0.823201000990077,1.72188402280208
h2_0.16,Southern,MP43,Short term (2026-2035),VB / VB[2025],3.6806393465105,2.46284954587647,5.38991736093647
h2_0.16,Southern,MP43,Short term (2026-2035),VB / VB[MSY],0.744355378774189,0.50836793610908,1.05038556723004
h2_0.16,North,MP43,Short term (2026-2035),VB / VB[2025],1.25248933455752,0.809058098769139,2.13401987948908
h2_0.16,North,MP43,Short term (2026-2035),VB / VB[MSY],0.56653594490787,0.354846504260365,0.864192235501886
h2_0.16_mov,Southern,MP43,Short term (2026-2035),VB / VB[2025],3.09872762747651,2.14524130958828,4.60097735228403
h2_0.16_mov,Southern,MP43,Short term (2026-2035),VB / VB[MSY],0.62773102048768,0.4349660976054,0.871449405728046
h2_0.16_mov,North,MP43,Short term (2026-2035),VB / VB[2025],2.29486850611116,1.25411501037543,3.45262149465698
h2_0.16_mov,North,MP43,Short term (2026-2035),VB / VB[MSY],1.22341456267759,0.937643617270284,1.67631810163893
h2_0.16h,Southern,MP43,Short term (2026-2035),VB / VB[2025],3.27563850366108,1.97343690606493,4.91630637765804
h2_0.16h,Southern,MP43,Short term (2026-2035),VB / VB[MSY],1.51028634358121,1.13172079022526,2.08485825630887
h2_0.16h,North,MP43,Short term (2026-2035),VB / VB[2025],1.81840596790535,0.518412205790513,2.84536982584152
h2_0.16h,North,MP43,Short term (2026-2035),VB / VB[MSY],0.459316668734239,0.0735504745474884,0.736256698328936
h2_1.14,Southern,MP43,Short term (2026-2035),VB / VB[2025],2.07063884475423,1.23541823948597,3.60904356030223
h2_1.14,Southern,MP43,Short term (2026-2035),VB / VB[MSY],1.1059013733863,0.814835179808401,1.5723450759542
h2_1.14,North,MP43,Short term (2026-2035),VB / VB[2025],0.886555037013267,0.537016242550199,1.32976718348647
h2_1.14,North,MP43,Short term (2026-2035),VB / VB[MSY],0.252513431714653,0.123880909859771,0.37208340783898
h1_0.16_selex,CJM,MP32,Short term (2026-2035),VB / VB[2025],6.3256060695673,3.98711286223389,10.6205466856277
h1_0.16_selex,CJM,MP32,Short term (2026-2035),VB / VB[MSY],0.608713505970871,0.395170854944464,0.883029603122136
h1_0.16_lowrec,CJM,MP32,Short term (2026-2035),VB / VB[2025],3.67402221636307,2.20236721382912,5.35413809991641
h1_0.16_lowrec,CJM,MP32,Short term (2026-2035),VB / VB[MSY],0.527470960768435,0.353591776788729,0.849024572148187
h1_0.16_cycle,CJM,MP32,Short term (2026-2035),VB / VB[2025],3.24826809306783,2.16721718191347,4.71962911486517
h1_0.16_cycle,CJM,MP32,Short term (2026-2035),VB / VB[MSY],0.497153867154428,0.301881753308548,0.789375095201108
h1_0.16h,CJM,MP32,Short term (2026-2035),VB / VB[2025],3.03018279423871,1.96216178963475,4.71247665742246
h1_0.16h,CJM,MP32,Short term (2026-2035),VB / VB[MSY],1.01503281674616,0.724174276189231,1.39073398300536
h1_1.14,CJM,MP32,Short term (2026-2035),VB / VB[2025],2.11171638219607,1.22766371034008,3.53892695368228
h1_1.14,CJM,MP32,Short term (2026-2035),VB / VB[MSY],1.07759439444864,0.773376275692705,1.64566571785091
h2_0.16,Southern,MP32,Short term (2026-2035),VB / VB[2025],3.31951840798636,2.10107188083067,4.81345356802321
