"set","run","cmp_code","cmp_id","label","om_code","source_om","stock","draws","first_year","last_year","statistics","source_file"
"reference","tun29","tun29","MP29","HS+20","om11","h1_0.16","CJM",500,2024,2050,"C;FMSY;IACC;SBMSY;VB2025;VBMSY","output/candidate-performance-500/reference/performance_with_vb.rds"
"robustness","tun29_om11_1","tun29","MP29","HS+20","om11_1","h1_0.16_selex","CJM",500,2024,2050,"C;FMSY;IACC;SBMSY;VB2025;VBMSY","output/candidate-performance-500/robustness/performance_with_vb.rds"
"robustness","tun29_om11_2","tun29","MP29","HS+20","om11_2","h1_0.16_lowrec","CJM",500,2024,2050,"C;FMSY;IACC;SBMSY;VB2025;VBMSY","output/candidate-performance-500/robustness/performance_with_vb.rds"
"robustness","tun29_om11_3","tun29","MP29","HS+20","om11_3","h1_0.16_cycle","CJM",500,2024,2050,"C;FMSY;IACC;SBMSY;VB2025;VBMSY","output/candidate-performance-500/robustness/performance_with_vb.rds"
"robustness","tun29_om12","tun29","MP29","HS+20","om12","h1_0.16h","CJM",500,2024,2050,"C;FMSY;IACC;SBMSY;VB2025;VBMSY","output/candidate-performance-500/robustness/performance_with_vb.rds"
"robustness","tun29_om13","tun29","MP29","HS+20","om13","h1_1.14","CJM",500,2024,2050,"C;FMSY;IACC;SBMSY;VB2025;VBMSY","output/candidate-performance-500/robustness/performance_with_vb.rds"
"robustness","tun29_om21","tun29","MP29","HS+20","om21","h2_0.16","North",500,2024,2050,"C;FMSY;IACC;SBMSY;VB2025;VBMSY","output/candidate-performance-500/robustness/performance_with_vb.rds"
"robustness","tun29_om21","tun29","MP29","HS+20","om21","h2_0.16","Southern",500,2024,2050,"C;FMSY;IACC;SBMSY;VB2025;VBMSY","output/candidate-performance-500/robustness/performance_with_vb.rds"
"robustness","tun29_om21_1","tun29","MP29","HS+20","om21_1","h2_0.16_mov","North",500,2024,2050,"C;FMSY;IACC;SBMSY;VB2025;VBMSY","output/candidate-performance-500/robustness/performance_with_vb.rds"
"robustness","tun29_om21_1","tun29","MP29","HS+20","om21_1","h2_0.16_mov","Southern",500,2024,2050,"C;FMSY;IACC;SBMSY;VB2025;VBMSY","output/candidate-performance-500/robustness/performance_with_vb.rds"
"robustness","tun29_om22","tun29","MP29","HS+20","om22","h2_0.16h","North",500,2024,2050,"C;FMSY;IACC;SBMSY;VB2025;VBMSY","output/candidate-performance-500/robustness/performance_with_vb.rds"
"robustness","tun29_om22","tun29","MP29","HS+20","om22","h2_0.16h","Southern",500,2024,2050,"C;FMSY;IACC;SBMSY;VB2025;VBMSY","output/candidate-performance-500/robustness/performance_with_vb.rds"
"robustness","tun29_om23","tun29","MP29","HS+20","om23","h2_1.14","North",500,2024,2050,"C;FMSY;IACC;SBMSY;VB2025;VBMSY","output/candidate-performance-500/robustness/performance_with_vb.rds"
"robustness","tun29_om23","tun29","MP29","HS+20","om23","h2_1.14","Southern",500,2024,2050,"C;FMSY;IACC;SBMSY;VB2025;VBMSY","output/candidate-performance-500/robustness/performance_with_vb.rds"
"reference","tun43","tun43","MP43","HS-20","om11","h1_0.16","CJM",500,2024,2050,"C;FMSY;IACC;SBMSY;VB2025;VBMSY","output/candidate-performance-500/reference/performance_with_vb.rds"
"robustness","tun43_om11_1","tun43","MP43","HS-20","om11_1","h1_0.16_selex","CJM",500,2024,2050,"C;FMSY;IACC;SBMSY;VB2025;VBMSY","output/candidate-performance-500/robustness/performance_with_vb.rds"
"robustness","tun43_om11_2","tun43","MP43","HS-20","om11_2","h1_0.16_lowrec","CJM",500,2024,2050,"C;FMSY;IACC;SBMSY;VB2025;VBMSY","output/candidate-performance-500/robustness/performance_with_vb.rds"
"robustness","tun43_om11_3","tun43","MP43","HS-20","om11_3","h1_0.16_cycle","CJM",500,2024,2050,"C;FMSY;IACC;SBMSY;VB2025;VBMSY","output/candidate-performance-500/robustness/performance_with_vb.rds"
"robustness","tun43_om12","tun43","MP43","HS-20","om12","h1_0.16h","CJM",500,2024,2050,"C;FMSY;IACC;SBMSY;VB2025;VBMSY","output/candidate-performance-500/robustness/performance_with_vb.rds"
"robustness","tun43_om13","tun43","MP43","HS-20","om13","h1_1.14","CJM",500,2024,2050,"C;FMSY;IACC;SBMSY;VB2025;VBMSY","output/candidate-performance-500/robustness/performance_with_vb.rds"
"robustness","tun43_om21","tun43","MP43","HS-20","om21","h2_0.16","North",500,2024,2050,"C;FMSY;IACC;SBMSY;VB2025;VBMSY","output/candidate-performance-500/robustness/performance_with_vb.rds"
"robustness","tun43_om21","tun43","MP43","HS-20","om21","h2_0.16","Southern",500,2024,2050,"C;FMSY;IACC;SBMSY;VB2025;VBMSY","output/candidate-performance-500/robustness/performance_with_vb.rds"
"robustness","tun43_om21_1","tun43","MP43","HS-20","om21_1","h2_0.16_mov","North",500,2024,2050,"C;FMSY;IACC;SBMSY;VB2025;VBMSY","output/candidate-performance-500/robustness/performance_with_vb.rds"
"robustness","tun43_om21_1","tun43","MP43","HS-20","om21_1","h2_0.16_mov","Southern",500,2024,2050,"C;FMSY;IACC;SBMSY;VB2025;VBMSY","output/candidate-performance-500/robustness/performance_with_vb.rds"
"robustness","tun43_om22","tun43","MP43","HS-20","om22","h2_0.16h","North",500,2024,2050,"C;FMSY;IACC;SBMSY;VB2025;VBMSY","output/candidate-performance-500/robustness/performance_with_vb.rds"
"robustness","tun43_om22","tun43","MP43","HS-20","om22","h2_0.16h","Southern",500,2024,2050,"C;FMSY;IACC;SBMSY;VB2025;VBMSY","output/candidate-performance-500/robustness/performance_with_vb.rds"
"robustness","tun43_om23","tun43","MP43","HS-20","om23","h2_1.14","North",500,2024,2050,"C;FMSY;IACC;SBMSY;VB2025;VBMSY","output/candidate-performance-500/robustness/performance_with_vb.rds"
"robustness","tun43_om23","tun43","MP43","HS-20","om23","h2_1.14","Southern",500,2024,2050,"C;FMSY;IACC;SBMSY;VB2025;VBMSY","output/candidate-performance-500/robustness/performance_with_vb.rds"
"reference","tun45","tun45","MP45","HSsym","om11","h1_0.16","CJM",500,2024,2050,"C;FMSY;IACC;SBMSY;VB2025;VBMSY","output/candidate-performance-500/reference/performance_with_vb.rds"
"robustness","tun45_om11_1","tun45","MP45","HSsym","om11_1","h1_0.16_selex","CJM",500,2024,2050,"C;FMSY;IACC;SBMSY;VB2025;VBMSY","output/candidate-performance-500/robustness/performance_with_vb.rds"
"robustness","tun45_om11_2","tun45","MP45","HSsym","om11_2","h1_0.16_lowrec","CJM",500,2024,2050,"C;FMSY;IACC;SBMSY;VB2025;VBMSY","output/candidate-performance-500/robustness/performance_with_vb.rds"
"robustness","tun45_om11_3","tun45","MP45","HSsym","om11_3","h1_0.16_cycle","CJM",500,2024,2050,"C;FMSY;IACC;SBMSY;VB2025;VBMSY","output/candidate-performance-500/robustness/performance_with_vb.rds"
"robustness","tun45_om12","tun45","MP45","HSsym","om12","h1_0.16h","CJM",500,2024,2050,"C;FMSY;IACC;SBMSY;VB2025;VBMSY","output/candidate-performance-500/robustness/performance_with_vb.rds"
"robustness","tun45_om13","tun45","MP45","HSsym","om13","h1_1.14","CJM",500,2024,2050,"C;FMSY;IACC;SBMSY;VB2025;VBMSY","output/candidate-performance-500/robustness/performance_with_vb.rds"
"robustness","tun45_om21","tun45","MP45","HSsym","om21","h2_0.16","North",500,2024,2050,"C;FMSY;IACC;SBMSY;VB2025;VBMSY","output/candidate-performance-500/robustness/performance_with_vb.rds"
"robustness","tun45_om21","tun45","MP45","HSsym","om21","h2_0.16","Southern",500,2024,2050,"C;FMSY;IACC;SBMSY;VB2025;VBMSY","output/candidate-performance-500/robustness/performance_with_vb.rds"
"robustness","tun45_om21_1","tun45","MP45","HSsym","om21_1","h2_0.16_mov","North",500,2024,2050,"C;FMSY;IACC;SBMSY;VB2025;VBMSY","output/candidate-performance-500/robustness/performance_with_vb.rds"
"robustness","tun45_om21_1","tun45","MP45","HSsym","om21_1","h2_0.16_mov","Southern",500,2024,2050,"C;FMSY;IACC;SBMSY;VB2025;VBMSY","output/candidate-performance-500/robustness/performance_with_vb.rds"
"robustness","tun45_om22","tun45","MP45","HSsym","om22","h2_0.16h","North",500,2024,2050,"C;FMSY;IACC;SBMSY;VB2025;VBMSY","output/candidate-performance-500/robustness/performance_with_vb.rds"
"robustness","tun45_om22","tun45","MP45","HSsym","om22","h2_0.16h","Southern",500,2024,2050,"C;FMSY;IACC;SBMSY;VB2025;VBMSY","output/candidate-performance-500/robustness/performance_with_vb.rds"
"robustness","tun45_om23","tun45","MP45","HSsym","om23","h2_1.14","North",500,2024,2050,"C;FMSY;IACC;SBMSY;VB2025;VBMSY","output/candidate-performance-500/robustness/performance_with_vb.rds"
"robustness","tun45_om23","tun45","MP45","HSsym","om23","h2_1.14","Southern",500,2024,2050,"C;FMSY;IACC;SBMSY;VB2025;VBMSY","output/candidate-performance-500/robustness/performance_with_vb.rds"
"reference","tun47","tun47","MP47","HS-30","om11","h1_0.16","CJM",500,2024,2050,"C;FMSY;IACC;SBMSY;VB2025;VBMSY","output/candidate-performance-500/reference/performance_with_vb.rds"
"robustness","tun47_om11_1","tun47","MP47","HS-30","om11_1","h1_0.16_selex","CJM",500,2024,2050,"C;FMSY;IACC;SBMSY;VB2025;VBMSY","output/candidate-performance-500/robustness/performance_with_vb.rds"
"robustness","tun47_om11_2","tun47","MP47","HS-30","om11_2","h1_0.16_lowrec","CJM",500,2024,2050,"C;FMSY;IACC;SBMSY;VB2025;VBMSY","output/candidate-performance-500/robustness/performance_with_vb.rds"
