"category","path","bytes","sha256"
"analysis-code","../jmMSE-500-refine/config.R",1641,"9fbf8af41e73d708031aa441110e5ec82d6058422e6755e442de5fdfe430ec24"
"analysis-code","../jmMSE-500-refine/data_load.R",7546,"4252e80bce3d6fd3c165fb22da10b7d0907e949b766733a7c4a01d14d9ef40ac"
"analysis-code","../jmMSE-500-refine/utilities.R",110822,"dff9a3ac092bbdba3ed7183410c520ce9fa41eb19b283f634bfcd6ab72ea6aa1"
"analysis-code","../jmMSE-500-refine/tune_candidate_change_limits.R",13040,"53df637957c3ae424f608fcb4f62d59db3650c48bd278e0e9de4913e1a70ee04"
"analysis-code","../jmMSE-500-refine/prepare_sc14_reference_500.R",2977,"b151f63aa0911c1954a5d991a15827d5f97fbe6c2f9b619278356e31a0a0efaf"
"analysis-code","../jmMSE-500-refine/run_candidate_mps.R",12886,"cdaca5d3e9fd904eabc4d4f5dccea9c775e6948db70a8a78180b40507e2b55ab"
"reporting-code","R/augment_candidate_vb_performance.R",4494,"c93b8b27135a834ab180f02988b1aac3cce3c52a49bdcdff85bb22f251acca1f"
"reporting-code","R/build_banking_borrowing_evidence.R",6530,"c6ed7d272a9b0e1a2431425cbef341a715ad865db8049827b95d3c13d9d95099"
"reporting-code","R/build_candidate_evidence_figures.R",22489,"ced0a9f070da5eac53f72d2f03e1628204dcd71428d0865067fd48d666c0da76"
"reporting-code","R/build_candidate_scorecard.R",8241,"ecfff48b47db2d5b4c549d819cfd84c7482b707a90fcdc79ab440f9482bc20d0"
"reporting-code","R/build_candidate_slick.R",32797,"18bd60d44452a7063fdb0594cda8fda17c362e34e2fff73d7c4bbde65edb23b4"
"reporting-code","R/extract_candidate_robustness_500.R",6356,"b718601487e94e04fa164e59e4cd65071fcc5b76d12505f519c9eddb3b12f24d"
"reporting-code","R/plot_sc14_tradeoffs.R",7286,"edb693e792f106679b26c8de2623fc033068fe824aa0cc0c63b32430a81268fd"
"definition","doc/data/cmp-registry.csv",3794,"51fae41896b9fb498e17f2d9a43d3710c962e0744d76c0e0fb0ad0644ffab879"
"definition","../jmMSE-500-refine/candidate_mps_500.csv",2719,"d0040204e71230142dd5ca5f6927ef31e92fcc7d5914134a72f6d2c3cf2a43b7"
"tuning","../jmMSE-500-refine/output/tune/tuning_500_from_100_summary.csv",1089,"7e687546eb00fba8eb3c3e6e596726a624359447206e8c1d3d50ba1af15214c5"
"tuning","doc/data/candidates/trigger_tolerance_summary_500.csv",1725,"da1ad6d99102480afef756f436548afd676a4cc4b2c516e2a8094c2c8f3bc57e"
"results","output/candidate-performance-500/reference/performance_with_vb.rds",3963896,"5807bcfa867fdaef3fae1e7b8983683658c7de25ea98440ec38e587f3a6e23aa"
"results","output/candidate-performance-500/robustness/performance_with_vb.rds",56575244,"e98fcd61c0c6bdfe54658abfcf8172eb4a05d3eecc7a2e4654426411e967cb71"
"results","output/jm_candidates_500.slick",83805660,"eac4d67ed02884b833397b601f5406e17c08cfe31cb507db2637a88ff41eddf5"
"results","doc/data/candidates/candidate_quilt_reference_summary.csv",13608,"c17a8f601861a6fdc0cb6183cf8f503d8860da2409241e376f90fcbf6af8fb92"
"results","doc/data/candidates/candidate_scorecard_input_reference.csv",10552,"26cdfe36cf2893343080cdeefb2a53d849e13bf2b28df176e5cace57c73885a7"
"results","doc/data/candidates/candidate_scorecard_result_reference.csv",567,"20c61111da26a5e3f0f72691b5ea9e3eeadc3242010dd1fad77d6cb1da577ab5"
"results","doc/data/candidates/kobe_reference_periods_summary.csv",1194,"bbbecfe8ef595bd160b2d00725111dc717711387d99f7bf07e9ea25a2ae6ae66"
"results","doc/data/candidates/vb_reference_summary.csv",3443,"349fe75dce4ce0aa2e8d465f2f4ef0884c0c362e3c047b103c353f28f2b9ab84"
"results","doc/data/candidates/vb_robustness_summary.csv",17694,"2afd64c224cb0849db4bb71681006ba90b735a78addd8347cc97815ce78d9d67"
"figure","doc/figures/candidates/candidate_quilt_reference.png",214663,"e1fc7d3c07ff426053faa17ddf9e4c2d780bd0b029ecd71e5c982d57b381f4fb"
"figure","doc/figures/candidates/kobe_reference_periods.png",62092,"52d533e8654772e74a5032a457e8dfa956d8d1ce9548f4beed6fe7da0d21cc72"
"figure","doc/figures/candidates/vb_reference.png",63721,"6d2e727f38a3d1a9b4db787118de4e4bd142c4a59eb76f8cc551e7874e3fa8a2"
"figure","doc/figures/candidates/vb_robustness.png",64799,"b1429f200d2d7c7889b5ec918f1a2092cc891bac9797ce1d28dcc0a0959eaabd"
"figure","doc/figures/sc14-tradeoff-reference.png",52350,"082d94d1b324380deba87bdd3aacc835d970a92a29756a05407697d58de39f64"
"figure","doc/figures/sc14-tradeoff-single-stock-robustness.png",121962,"518f42b4a315dfb6d6434ad7b8728b7d8044a052a77b518efd9658aef7463db3"
"figure","doc/figures/sc14-tradeoff-two-stock-robustness.png",164445,"7ea31b5859cec822b824e0e42383098834aa1ebf02b288035cacb68adf8f543d"
"paper-source","doc/sc14/index.qmd",4505,"674a71f58cd58a7669e6094bba5c8b2b53e4b30ff961a652551f26ac0a771ade"
"paper-source","doc/sc14/decision-paper.qmd",9393,"f1453ffcd8cf7c3169056419a957b98d4f86efb2b3c16dad2cc4c8e7e14621c6"
"paper-source","doc/evidence/sc14-mse-report.qmd",69507,"1e08abfc7e0fd966247164c71f211afb98921d6e4a2cd2d0ee409877a37ce8d0"
"paper-source","doc/sc14/technical-paper.qmd",8178,"d54089b3c6512bdaef7d17f762b125fa27af2b3c6cac93ad4d92674227e774b3"
"paper-source","doc/sc14/review-response.qmd",8444,"003e9cfcfa3d7dd2a91a66b7d803b203fa8118f13c0b2fb8cdd0d2f5254d7579"
"public-page-source","doc/cmp/index.qmd",6138,"504870d818d3bfb685829c9eced6fd78c1dbde448ed2c23be5484a9d4a6d4401"
"public-page-source","doc/cmp/mp29.qmd",3138,"77ff418944e4acaf002959522697aa5df78c7914a546cf7d97179a2530b2444b"
"public-page-source","doc/cmp/mp32.qmd",2917,"5d1e3eeef664eb98824bb00bc1c4139d587b88d74ef5e886c04b6e9770bfede2"
"public-page-source","doc/cmp/mp43.qmd",1775,"81a0c5862dfcda6767c8c39edeb76230dcd3bb32df8b64c4004adb69c4e2dba9"
"public-page-source","doc/cmp/mp44.qmd",1845,"b6505e108448acc4f40c4359c92dcbac995e9b983de52d95415f63dfacf28085"
"public-page-source","doc/application/annual-workflow.qmd",2802,"7ee90b88467c6fae4cd199d87145a2ca33a78d56dc4d7375ca723d222261629c"
"public-page-source","doc/application/input-data.qmd",1718,"f23c9ad26480c134120b50b1a69c800b85219d98dc3fab6f779f413f37d579a8"
"public-page-source","doc/application/tac-2027.qmd",19675,"dc710e48daaa75a12c888a6d14d73b73184b9ed2b4056f43c7c1978e5cb3a5cc"
